evidence_kind,source_map,source_row_id,jabbithole_challenge_id,challenge_id,challenge_name,client_challenge_name,challenge_link_status,challenge_type,client_challenge_type,goals,client_world_zone_id,challenge_reward_track_id,client_reward_track_id,related_jabbithole_id,related_client_id,related_source_name,related_client_name,relation_source,match_status,description,reward_index,reward_type,amount,tier,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
challenge,challenge_map.csv,387,387,2,(TEST) Barrage on kill,,current_challenge,1,1,1,262,16,34,387,2,(TEST) Barrage on kill,,,matched,Use Barrage to kill an enemy,,,,,4,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,107,107,17,Pride's Fall,Pride's Fall,current_challenge,0,0,100,483,14,19,107,17,Pride's Fall,Pride's Fall,,matched,Kill Whitepaw pumera in Pride's Rest before time runs out,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,87,87,18,Savannah Slayer,Savannah Slayer,current_challenge,0,0,100,483,14,19,87,18,Savannah Slayer,Savannah Slayer,,matched,"Kill pumera, razortails, and garr in Bloodfire Savannah before time runs out",,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,105,105,19,Coastal Tusker Slayer,Coastal Tusker Slayer,current_challenge,0,0,100,483,14,19,105,19,Coastal Tusker Slayer,Coastal Tusker Slayer,,matched,Kill Coastal Tuskers,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,106,106,20,Deadwind Slayer,Deadwind Slayer,current_challenge,0,0,100,483,14,19,106,20,Deadwind Slayer,Deadwind Slayer,,matched,Kill Deadwind Moodies in Deradune,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,79,79,21,Stonetusk Slayer,Stonetusk Slayer,current_challenge,0,0,100,483,14,19,79,21,Stonetusk Slayer,Stonetusk Slayer,,matched,Kill Stonetusk Mammodin in Deradune,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,367,367,22,Treeclimber,Treeclimber,current_challenge,2,2,0,483,14,19,367,22,Treeclimber,Treeclimber,,matched,Reach the top of the tree before time runs out,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,100,100,39,Scale the Loftite Cliffs,Scale the Loftite Cliffs,current_challenge,2,2,1,13,11,17,100,39,Scale the Loftite Cliffs,Scale the Loftite Cliffs,,matched,Reach the top of the Loftite Cliffs before time runs out,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,111,111,40,Loftite Collector,Loftite Collector,current_challenge,4,4,10,13,11,17,111,40,Loftite Collector,Loftite Collector,,matched,Collect loftite crystals before time runs out,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
challenge,challenge_map.csv,112,112,42,Tremor Ridge Defender,Tremor Ridge Defender,current_challenge,0,0,100,13,11,17,112,42,Tremor Ridge Defender,Tremor Ridge Defender,,matched,Kill Deadstar Marauders in Deadstar Ravine before time runs out,,,,,7,runtime_challenge_lifecycle_progress_tier_reward_track_tested_pending_content_smoke,Tools/DataMapping/output/challenge_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Challenge.tbl.sql;Source/NexusForever.Game/Challenges,pending,not_retail_complete,"Challenge lifecycle, public progress credit, tier completion, persistence, and first-supported RewardTrack item grants are implemented and tested; retail completion still needs content smoke, timed scoring semantics, reward UI selection/win chance, challenge-specific achievement trigger evidence, and remaining objective-producer evidence."
