evidence_kind,source_map,source_row_id,quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,jabbithole_contract_id,contract_game_id,jabbithole_quest_id,jabbithole_quest_name,client_quest_name,contract_quality,contract_type,reward_track_type,xp,related_jabbithole_id,related_client_id,related_source_name,related_client_name,match_status,relation_match_status,tier,cost,amount,choice_idx,is_casque,enabled,first_seen_in,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
contract,contract_map.csv,11,9880,Down in the Dregs,generic_table_driven,not_retail_complete,current_quest,11,9880,2889,Down in the Dregs,Down in the Dregs,1,2,1,50,11,9880,Down in the Dregs,Down in the Dregs,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,20,9881,Bad Mojo,generic_table_driven,not_retail_complete,current_quest,20,9881,2899,Bad Mojo,Bad Mojo,1,2,1,50,20,9881,Bad Mojo,Bad Mojo,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,23,9883,Deconstruction,generic_table_driven,not_retail_complete,current_quest,23,9883,2903,Deconstruction,Deconstruction,1,2,1,50,23,9883,Deconstruction,Deconstruction,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,10,9884,Battlegroundbreaking,generic_table_driven,not_retail_complete,current_quest,10,9884,2885,Battlegroundbreaking,Battlegroundbreaking,1,1,0,50,10,9884,Battlegroundbreaking,Battlegroundbreaking,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,24,9885,Disinfectant,generic_table_driven,not_retail_complete,current_quest,24,9885,2904,Disinfectant,Disinfectant,1,2,1,50,24,9885,Disinfectant,Disinfectant,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,33,9886,Try the Walatiki!,generic_table_driven,not_retail_complete,current_quest,33,9886,2919,Try the Walatiki!,Try the Walatiki!,2,1,0,150,33,9886,Try the Walatiki!,Try the Walatiki!,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,40,9887,Tear Down the Halls,generic_table_driven,not_retail_complete,current_quest,40,9887,2924,Tear Down the Halls,Tear Down the Halls,2,1,0,150,40,9887,Tear Down the Halls,Tear Down the Halls,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,39,9888,Please Pass the Daggerstone,generic_table_driven,not_retail_complete,current_quest,39,9888,2920,Please Pass the Daggerstone,Please Pass the Daggerstone,2,1,0,150,39,9888,Please Pass the Daggerstone,Please Pass the Daggerstone,matched,,,,,,,true,0,8,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,41,9889,Practical Pummeling,generic_table_driven,not_retail_complete,current_quest,41,9889,2923,Practical Pummeling,Practical Pummeling,2,1,0,150,41,9889,Practical Pummeling,Practical Pummeling,matched,,,,,,,true,0,7,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
contract,contract_map.csv,17,9890,Five by Five,generic_table_driven,not_retail_complete,current_quest,17,9890,2891,Five by Five,Five by Five,2,2,1,150,17,9890,Five by Five,Five by Five,matched,,,,,,,true,0,8,implemented_contract_quest_manager_backed_pending_rotation_client_smoke,Tools/DataMapping/output/contract_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/PeriodicQuest*.tbl.sql;Source/NexusForever.Game/Quest/ContractManager.cs;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending,not_retail_complete,"Contract quest evidence is manager-backed from typed Quest2, QuestObjective, Quest2Reward, Item2, and PeriodicQuestGroup tables, with focused tests covering objective families, UI-safe validation, receiverless accept/complete, periodic capacity, fixed item rewards, and contract achievements. Retail-complete proof still needs exact random rotation or board timing/type-filter evidence and client smoke."
