content_type,world_id,instance_name,dependency_type,instance_evidence_status,completion_status,blocker_summary,dependency_id,dependency_name,public_event_id,objective_type,object_id,count,flags,world_zone_id,reward_rotation_content_id,script_path,script_owner_ids,matching_game_type_id,match_type_enum,achievement_category_id,evidence_status,evidence_sources,manual_validation
dungeon,382,Stormtalon's Lair,public_event,mapped_only_pending_manual_smoke,not_retail_complete,"Mapped/WIP dungeon scaffold; Blade-Wind the Invoker 312, Aethros 313, Thundercall Pell Zealot rush 539, High Priest trigger creation/credit/cleanup 540, Tainted Flower Stem 554 reviewed placements and checklist credit, Thundercall Data Altar 555 reviewed placement and checklist credit, Thundercall Storm Totem 562 reviewed placements and activation credit, Thundercall Cage 464 reviewed placements and checklist credit, Eliminate Thundercall Pell 557, Improvement Construction Platform 558 and Invoker's Holocrypt 4867 reviewed platform placement and activation credit, timed Thundercall Pell bonus 843, grenade-disable objective 561 activation-only, Launch Pads 559 reviewed placements and activation credit, optional Arcanist Breeze-Binder 556, optional Overseer Drift-Catcher 828, and Stormtalon final-boss direct credit 314 are test-backed from their build 16042 TargetGroup / Creature2 / script-objective bindings and reviewed placement slices where recorded. Residual script/bonus rows 842, 844, 1692, 2380-2382, 2487, 3201, 5177, and 5343 are mapped-only with concrete blockers for missing party-death, tornado/hazard, blank TalkTo, boss challenge, timed medal, rookie reward, or TargetGroup mismatch proof. Exact Stormtalon combat, cinematic payload, optional route weights, wave spawn/count/cadence, boss spawn/version selection, timed bonus route validation, grenade spell/disable credit semantics, route visual/despawn states, rewards, achievements, and manual dungeon smoke remain blocked.",145,The Birth of a Corrupted God,145,,0,,12292,271,12,,,,,,client_public_event_row_pending_instance_smoke,wildstar_client_mysql/PublicEvent.tbl.sql;Source/NexusForever.Script.Instance,pending
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance public-event objective 312 is mapped to a current client row (PublicEvent 145; type KillTargetGroup (0); ObjectId 2585; Count 1; Flags 33554432; WorldLocation2 12733; TargetGroup 2585; text 'Defeat Blade-Wind the Invoker to stop him from channeling primal energy into the summoning device'). The shared runtime public-event objective path for this objective family is implemented/tested where noted by `runtime_public_event_kill_target_group_credit_tested_pending_spawn_event_smoke`, but this instance row is still not retail-complete until row-specific event/phase activation, spawn or trigger placement, cleanup/replay behavior, rewards/medals, and client smoke prove the producer for this content route.",312,Defeat Blade-Wind the Invoker to stop him from channeling primal energy into the summoning device,145,0,2585,1,33554432,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\BladeWindTheInvokerVeteranEntityScript.cs,145;17160;33405;2585,,,,runtime_stormtalon_blade_wind_boss_death_credit_tested_pending_boss_mechanics_rewards_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/client_source_targetgroup_map.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/BladeWindTheInvokerVeteranEntityScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs;Source/NexusForever.Game.Tests/Instances/PublicEventObjectiveCreditEntityScriptTests.cs,automated_focus_pass_pending_boss_mechanics_rewards_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance public-event objective 313 is mapped to a current client row (PublicEvent 145; type KillTargetGroup (0); ObjectId 2586; Count 1; Flags 33554432; WorldLocation2 12734; TargetGroup 2586; text 'Eliminate Aethros to gain access to the summoning area'). The shared runtime public-event objective path for this objective family is implemented/tested where noted by `runtime_public_event_kill_target_group_credit_tested_pending_spawn_event_smoke`, but this instance row is still not retail-complete until row-specific event/phase activation, spawn or trigger placement, cleanup/replay behavior, rewards/medals, and client smoke prove the producer for this content route.",313,Eliminate Aethros to gain access to the summoning area,145,0,2586,1,33554432,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\AethrosVeteranEntityScript.cs,145;17166;32703;2586,,,,runtime_stormtalon_aethros_boss_death_credit_tested_pending_boss_mechanics_rewards_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/client_source_targetgroup_map.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/AethrosVeteranEntityScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs;Source/NexusForever.Game.Tests/Instances/PublicEventObjectiveCreditEntityScriptTests.cs,automated_focus_pass_pending_boss_mechanics_rewards_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance dependency row: Public-event objective 314 is mapped to a current client row (type Script (5); ObjectId 0; Count 1; WorldLocation2 12736; text 'Destroy Stormtalon before he is unleashed upon Nexus'), but remains blocked because it is missing a reviewed script producer that identifies trigger timing, owner event, count/delta semantics, and replay behavior. Required evidence source: client/decompile/live capture, or a reviewed runtime script/placement/data promotion that proves producer ownership, activation timing, objective delta/replay behavior, rewards/medals, and client smoke without querying reference tables at runtime.",314,Destroy Stormtalon before he is unleashed upon Nexus,145,5,0,1,33554432,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\StormtalonEntityScript.cs,145;17163;33406;314,,,,runtime_stormtalon_final_boss_objective_activated_death_credit_and_event_finish_tested_pending_boss_mechanics_rewards_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/creature_public_event_map.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/StormtalonEntityScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs;Source/NexusForever.Game.Tests/Instances/PublicEventObjectiveCreditEntityScriptTests.cs,automated_focus_pass_pending_boss_mechanics_rewards_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance dependency row: Public-event objective 464 is mapped to a current client row (type ActivateTargetGroupChecklist (4); ObjectId 1661; Count 5; WorldLocation2 17911; text 'Rescue the Thundercall Sacrificial Prisoners trapped in cages'), but remains blocked because it is missing a reviewed activate/talk entity or target-group producer with repeat/checklist semantics. Required evidence source: client/decompile/live capture, or a reviewed runtime script/placement/data promotion that proves producer ownership, activation timing, objective delta/replay behavior, rewards/medals, and client smoke without querying reference tables at runtime.",464,Rescue the Thundercall Sacrificial Prisoners trapped in cages,145,4,1661,5,33554436,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\StormtalonOptionalObjectiveEntityScripts.cs,145;464;1661;17191;837;3241;3242;3243;3244;20323;1100038201;1100038202;1100038203;1100038204;1100038205,,,,runtime_stormtalon_thundercall_cage_jabbithole_placements_and_checklist_credit_tested_pending_route_visual_state_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;jabbithole.public_events;jabbithole.public_event_objectives;jabbithole.public_event_creatures;jabbithole.creatures;jabbithole.coordinates;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/output/creature_client_metadata_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Tools/DataMapping/output/world_entity_candidate.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/StormtalonOptionalObjectiveEntityScripts.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs,automated_focus_pass_pending_route_visual_state_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance public-event objective 539 is mapped to a current client row (PublicEvent 145; type KillTargetGroup (0); ObjectId 2977; Count 12; Flags 1; WorldLocation2 20524; TargetGroup 2977; text 'Survive the rush of Thundercall Pell Zealots!'). The shared runtime public-event objective path for this objective family is implemented/tested where noted by `runtime_public_event_kill_target_group_credit_tested_pending_spawn_event_smoke`, but this instance row is still not retail-complete until row-specific event/phase activation, spawn or trigger placement, cleanup/replay behavior, rewards/medals, and client smoke prove the producer for this content route.",539,Survive the rush of Thundercall Pell Zealots!,145,0,2977,12,1,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\ThundercallZealotRushEntityScript.cs,145;16728;26448;2977,,,,runtime_stormtalon_thundercall_zealot_rush_death_credit_tested_pending_wave_cadence_rewards_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/client_source_targetgroup_map.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/ThundercallZealotRushEntityScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs;Source/NexusForever.Game.Tests/Instances/PublicEventObjectiveCreditEntityScriptTests.cs,automated_focus_pass_pending_wave_cadence_rewards_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance public-event objective 540 is mapped to a current client row (PublicEvent 145; type ParticipantsInTriggerVolume (6); ObjectId 1831; Count 0; Flags 128; WorldLocation2 12736; text 'Battle your way through Stormtalon's Lair to put a stop to the Thundercall High Priest's summoning ritual'). The shared runtime public-event objective path for this objective family is implemented/tested where noted by `runtime_public_event_participants_trigger_volume_world_location_credit_tested_pending_trigger_placement_smoke`, but this instance row is still not retail-complete until row-specific event/phase activation, spawn or trigger placement, cleanup/replay behavior, rewards/medals, and client smoke prove the producer for this content route.",540,Battle your way through Stormtalon's Lair to put a stop to the Thundercall High Priest's summoning ritual,145,6,1831,0,128,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\StopTheThundercallHighPriestGridTriggerEntityScript.cs,145;1831,,,,runtime_stormtalon_high_priest_trigger_created_credited_and_cleaned_up_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/StopTheThundercallHighPriestGridTriggerEntityScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairTriggerScriptTests.cs,automated_focus_pass
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance dependency row: Public-event objective 554 is mapped to a current client row (type ActivateTargetGroupChecklist (4); ObjectId 2548; Count 15; text 'Gather Tainted Stem samples from Tainted Flower Stems'), but remains blocked because it is missing a reviewed activate/talk entity or target-group producer with repeat/checklist semantics. Required evidence source: client/decompile/live capture, or a reviewed runtime script/placement/data promotion that proves producer ownership, activation timing, objective delta/replay behavior, rewards/medals, and client smoke without querying reference tables at runtime.",554,Gather Tainted Stem samples from Tainted Flower Stems,145,4,2548,15,33554436,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\StormtalonOptionalObjectiveEntityScripts.cs,145;554;2548;24307;4199;1872;26518;5195326;5195327;5195328;5195329;5195330;5195331;5195332;5197891;5197892;5197893;5197894;5197895;5197896;5197897;5197898;5198161;5198162;5198163;5200460;5200461;5200462;5200463;5200464;5202164;5202165;5202166;5202167;5204912;5204913;5204914;5204915;5224306;1100038210;1100038211;1100038212;1100038213;1100038214;1100038215;1100038216;1100038217;1100038218;1100038219;1100038220;1100038221;1100038222;1100038223;1100038224;1100038225;1100038226;1100038227;1100038228;1100038229;1100038230;1100038231;1100038232;1100038233;1100038234;1100038235;1100038236;1100038237;1100038238;1100038239;1100038240;1100038241,,,,runtime_stormtalon_tainted_flower_stem_jabbithole_placements_and_checklist_credit_tested_pending_route_visual_state_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;jabbithole.public_events;jabbithole.public_event_objectives;jabbithole.public_event_creatures;jabbithole.creatures;jabbithole.coordinates;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/output/creature_client_metadata_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Tools/DataMapping/output/world_entity_candidate.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/StormtalonOptionalObjectiveEntityScripts.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs,automated_focus_pass_pending_route_visual_state_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance dependency row: Public-event objective 555 is mapped to a current client row (type ActivateTargetGroupChecklist (4); ObjectId 2978; Count 1; WorldLocation2 17904; text 'Obtain the data stored in the Thundercall Data Altar'), but remains blocked because it is missing a reviewed activate/talk entity or target-group producer with repeat/checklist semantics. Required evidence source: client/decompile/live capture, or a reviewed runtime script/placement/data promotion that proves producer ownership, activation timing, objective delta/replay behavior, rewards/medals, and client smoke without querying reference tables at runtime.",555,Obtain the data stored in the Thundercall Data Altar,145,4,2978,1,4,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\ThundercallDataAltarEntityScript.cs,145;555;2978;24314;824;3201;1100038243,,,,runtime_stormtalon_thundercall_data_altar_jabbithole_placement_and_checklist_credit_tested_pending_route_visual_state_and_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;jabbithole.public_events;jabbithole.public_event_objectives;jabbithole.public_event_creatures;jabbithole.creatures;jabbithole.coordinates;Tools/DataMapping/output/public_event_objective_client_map.csv;Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/output/creature_client_metadata_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Tools/DataMapping/output/world_entity_candidate.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/ThundercallDataAltarEntityScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs,automated_focus_pass_pending_route_visual_state_and_client_smoke
dungeon,382,Stormtalon's Lair,public_event_objective,mapped_only_pending_manual_smoke,not_retail_complete,"Instance public-event objective 556 is mapped to a current client row (PublicEvent 145; type KillTargetGroup (0); ObjectId 3030; Count 1; Flags 33554436; WorldLocation2 17903; TargetGroup 3030; text 'Defeat Arcanist Breeze-Binder to acquire the encryption key to unlock the data stored on the Thundercall Integrated Network'). The shared runtime public-event objective path for this objective family is implemented/tested where noted by `runtime_public_event_kill_target_group_credit_tested_pending_spawn_event_smoke`, but this instance row is still not retail-complete until row-specific event/phase activation, spawn or trigger placement, cleanup/replay behavior, rewards/medals, and client smoke prove the producer for this content route.",556,Defeat Arcanist Breeze-Binder to acquire the encryption key to unlock the data stored on the Thundercall Integrated Network,145,0,3030,1,33554436,,,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs;Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\Script\StormtalonMinibossEntityScripts.cs,145;24474;34711;3030,,,,runtime_stormtalon_arcanist_breeze_binder_optional_miniboss_activation_and_death_credit_tested_pending_route_combat_client_smoke,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Tools/DataMapping/output/public_event_objective_client_map.csv;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/Script/StormtalonMinibossEntityScripts.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs;Source/NexusForever.Game.Tests/Instances/PublicEventObjectiveCreditEntityScriptTests.cs,automated_focus_pass_pending_route_combat_and_client_smoke
