content_type,world_id,instance_name,dependency_type,dependency_id,entity_id,creature_id,entity_type,area_id,event_id,phase,script_name,stat,value,x,y,z,rx,ry,rz,display_info,outfit_info,faction1,faction2,quest_checklist_idx,active_prop_id,world_socket_id,mode,reconciliation_field,reconciliation_value,related_events,related_scripts,related_stats,source_comment,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
dungeon,3522,Coldblood Citadel,entity,1100300001,1100300001,75508,0,0,,,,,,459.544,-467.2018,-596.769,0,0,0,24808,0,691,691,0,0,0,0,,,907:1,HailstoneGatecrasherEntityScript,10=50,"Coldblood Citadel Hailstone Gatecrasher; source creature 75508; event 907 phase 1; Branch SQL supplies event 907 phase 1, level stat 50, and HailstoneGatecrasherEntityScript; current C# has the WIP-guessed event script and matching entity script.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
dungeon,3522,Coldblood Citadel,entity,1100300002,1100300002,75624,10,0,,,,,,604.33,-475.452,-322.957,0,0,0,30327,0,219,219,0,0,0,0,,,907:0,,,Coldblood Citadel Gather Ring; source creature 75624; event 907 phase 0; Branch SQL supplies event 907 phase 0; current C# tracks and removes PublicEventCreature.GatherRing during the WIP-guessed phase handoff.,reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
dungeon,3522,Coldblood Citadel,entity,1100300003,1100300003,75698,4,0,,,,,,371,-456.92,-592.31,1.570796327,0,0,36619,0,219,219,0,0,0,0,,,907:2,,,"Coldblood Citadel Coldblood Gate; source creature 75698; event 907 phase 2; Branch SQL supplies event 907 phase 2; exact door choreography is still blocked, so this remains a WIP placement row.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
event_instance,3094,Map\ProtostarWinterfest,entity,1100300004,1100300004,68636,10,0,,,,,,560.946,-908.0902,119.026,0,0,0,30327,0,219,219,0,0,0,0,,,679:0,,,"Protostar SuperMall Gather Marker; source creature 68636; event 679 phase 0; Branch SQL supplies event 679 phase 0; current runtime only has the map binding, so event routing/cinematics remain blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300005,1100300005,45900,0,2483,,,,,,-14.70037,4.950619,337.0874,0,0,0,28578,0,466,466,0,0,0,0,,,390:0,,0=1,Space Madness Captain Tero; source creature 45900; event 390 phase 0; Branch SQL supplies event 390 phase 0 and the current Space Madness event script starts at TalkToCaptainTero; placement is preserved as WIP/GUESSED pending manual expedition smoke.,reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300006,1100300006,45812,0,2482,,,,,,-40.0482,4.858062,310.5947,0,0,0,29020,9128,219,219,0,0,0,0,,,390:1,,0=1,Space Madness Major Lee Barmy; source creature 45812; event 390 phase 1; Branch SQL supplies event 390 phase 1 and the current Space Madness event script advances to TalkToMajorLeeBarmy; placement is preserved as WIP/GUESSED pending manual expedition smoke.,reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300007,1100300007,45972,10,2415,,,,,,-39.72298,7.399887,158.1838,0,0,0,23951,0,219,219,0,0,0,0,,,390:2,,,"Space Madness Observation Deck Computer; source creature 45972; event 390 phase 2; Branch SQL supplies event 390 phase 2 for the observation-deck computer; the source comment says coordinates need fixing, so this remains WIP/GUESSED placement data.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300008,1100300008,46092,10,2415,,,,,,7.77,7.399887,84.36,0,0,0,23951,0,219,219,0,0,0,0,,,390:3,,,"Space Madness Hazmat Control Panel; source creature 46092; event 390 phase 3; Branch SQL supplies event 390 phase 3 for the hazmat control panel; the source comment says coordinates need fixing, so this remains WIP/GUESSED placement data.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300009,1100300009,46483,0,2415,,,,,,25.23,-2.91,120.42,1.57079,0,0,27827,0,218,218,0,0,0,0,,,390:4,,0=1;10=32,"Space Madness Exact Change 3.0; source creature 46483; event 390 phase 4; Branch SQL supplies event 390 phase 4 and source level/stat notes for Exact Change 3.0; current script only activates the livestock phase objective, so combat behavior remains blocked.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
expedition,2149,Space Madness,entity,1100300010,1100300010,46714,0,2415,,,,,,7.12621,-2.9093,112.0714,2.64731,0,0,26022,9347,218,218,0,0,0,0,,,390:4,,0=1;10=32,"Space Madness Blazing Crewman A; source creature 46714; event 390 phase 4; Branch SQL supplies the first event 390 phase 4 Blazing Crewman row; current script only activates phase objectives, so spawn/combat behavior remains WIP/GUESSED.",reviewed_laughingws_instance_entity_pending_spawn_and_mechanics_smoke,Tools/DataMapping/sql/laughingws_instance_entity_wip_seed.sql;Tools/DataMapping/extract_laughingws_instance_entities.py;Source/NexusForever.Script.Instance;Decomp/Analysis/LAUGHINGWS_INSTANCES_AND_MORE_AUDIT.md,pending,not_retail_complete,"Reviewed instance placement is tracked, but retail completion needs spawn lifecycle, interaction/combat behavior, choreography, reward/loot hooks, and manual instance smoke."
