content_type,world_id,instance_name,reward_source,source_id,source_name,reward_rotation_content_id,reward_rotation_content_type,match_type_enum,world_difficulty_enum,reward_item_type,reward_item_object,item2_id,item_count,currency_type_id,currency_value,xp_earned,item2_id_level_scale,item_count_level_scale,currency_type_id_level_scale,currency_value_level_scale,xp_earned_level_scale,global_reward_rotation_item_ids,global_reward_rotation_modifier_ids,global_reward_rotation_essence_ids,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
dungeon,382,Stormtalon's Lair,world_reward_rotation_content,382,Stormtalon's Lair,12,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,1232,Infestation,world_reward_rotation_content,1232,Infestation,18,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
dungeon,1263,Skullcano,world_reward_rotation_content,1263,Skullcano,13,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
dungeon,1271,Sanctuary of the Swordmaiden,world_reward_rotation_content,1271,Sanctuary of the Swordmaiden,14,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,1319,Outpost M-13,world_reward_rotation_content,1319,Outpost M-13,19,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
dungeon,1336,Ruins of Kel Voreth,world_reward_rotation_content,1336,Ruins of Kel Voreth,15,1,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,1627,Rage Logic,world_reward_rotation_content,1627,Rage Logic,20,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,2149,Space Madness,world_reward_rotation_content,2149,Space Madness,21,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,2183,Gauntlet,world_reward_rotation_content,2183,Gauntlet,22,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
expedition,2188,Deep Space Exploration,world_reward_rotation_content,2188,Deep Space Exploration,23,3,,,,,,,,,,,,,,,3;4;5;6;7;18,5;6;7;9;10;11;12;15;16;17;18;21;22;23;24;25,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,client_world_reward_rotation_content_pending_schedule_claim_smoke,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/MatchTypeRewardRotationContent.tbl.sql;wildstar_client_mysql/MatchingRandomReward.tbl.sql;wildstar_client_mysql/RewardRotation*.tbl.sql;Source/NexusForever.Game/Account/Reward,pending,not_retail_complete,"World reward-rotation content is tracked, but retail completion needs schedule selection, grant state, claim behavior, reward presentation, and instance smoke."
