content_type,world_id,instance_name,script_path,source_line,script_class,script_kind,script_owner_ids,script_creature_ids,script_filter_name,handler_name,handler_category,handler_signature,owner_link_status,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
dungeon,3041,Map\UltimateProtogamesRaid,Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\Downsizer\UltimateProtogamesEventScript.cs,16,UltimateProtogamesEventScript,public_event_script,642,,,OnLoad,script_lifecycle,public void OnLoad(IPublicEvent owner),script_owner_matches_instance_public_event,runtime_up_downsizer_onload_objective_activation_handler_tested,wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/UltimateProtogames/Downsizer/UltimateProtogamesEventScript.cs;Source/NexusForever.Game.Tests/Instances/UltimateProtogamesDownsizerEventScriptTests.cs,automated_focus_pass,not_retail_complete,"UltimateProtogames Downsizer OnLoad handler is covered by focused tests proving PE642 activates objectives 3197, 3266, 3267, 3268, and 3269 on load. Boss mechanics, challenge mechanics, portal routing, rewards, achievements, and client smoke remain tracked by the producer, dependency, and parent instance rows."
dungeon,3041,Map\UltimateProtogamesRaid,Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\Downsizer\UltimateProtogamesEventScript.cs,33,UltimateProtogamesEventScript,public_event_script,642,,,OnPublicEventObjectiveStatus,public_event_lifecycle,public void OnPublicEventObjectiveStatus(IPublicEventObjective objective),script_owner_matches_instance_public_event,runtime_up_downsizer_objective_status_finish_handler_tested,wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/UltimateProtogames/Downsizer/UltimateProtogamesEventScript.cs;Source/NexusForever.Game.Tests/Instances/UltimateProtogamesDownsizerEventScriptTests.cs,automated_focus_pass,not_retail_complete,"UltimateProtogames Downsizer objective-status handler is covered by focused tests proving PE642 finishes only when objective 3197 succeeds, while active status and challenge-objective success do not finish the event. Boss mechanics, rewards, achievements, and client smoke remain tracked by the producer, dependency, and parent instance rows."
event_instance,3044,Map\ShadesEveInstance,Source\NexusForever.Script.Instance\EventInstance\ShadesEve\ShadesEveMapScript.cs,28,ShadesEveMapScript,map_script,3044,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,instance_map_entity_lifecycle_handler_pending_mechanics_smoke,Source/NexusForever.Script.Instance;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Decomp/Analysis/CONTENT_RETAIL_COMPLETENESS_TRACKER.md,pending,not_retail_complete,"Instance script handler is tracked, but retail completion needs exact trigger order, state transitions, target selection, cleanup behavior, rewards/loot side effects, and manual instance smoke."
event_instance,3094,Map\ProtostarWinterfest,Source\NexusForever.Script.Instance\EventInstance\ProtostarsSuperMallInTheSky\ProtostarsSuperMallInTheSkyMapScript.cs,33,ProtostarsSuperMallInTheSkyMapScript,map_script,3094,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,instance_map_entity_lifecycle_handler_pending_mechanics_smoke,Source/NexusForever.Script.Instance;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Decomp/Analysis/CONTENT_RETAIL_COMPLETENESS_TRACKER.md,pending,not_retail_complete,"Instance script handler is tracked, but retail completion needs exact trigger order, state transitions, target selection, cleanup behavior, rewards/loot side effects, and manual instance smoke."
expedition,1232,Infestation,Source\NexusForever.Script.Instance\Expedition\Infestation\InfestationMapScript.cs,28,InfestationMapScript,map_script,1232,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,instance_map_entity_lifecycle_handler_pending_mechanics_smoke,Source/NexusForever.Script.Instance;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Decomp/Analysis/CONTENT_RETAIL_COMPLETENESS_TRACKER.md,pending,not_retail_complete,"Instance script handler is tracked, but retail completion needs exact trigger order, state transitions, target selection, cleanup behavior, rewards/loot side effects, and manual instance smoke."
expedition,2149,Space Madness,Source\NexusForever.Script.Instance\Expedition\SpaceMadness\SpaceMadnessMapScript.cs,28,SpaceMadnessMapScript,map_script,2149,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,runtime_space_madness_map_onadd_player_join_and_cinematic_hook_tested,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Source/NexusForever.Script.Instance/Expedition/SpaceMadness/SpaceMadnessMapScript.cs;Source/NexusForever.Game.Tests/Instances/BranchCinematicHookMapScriptTests.cs;Source/NexusForever.Game.Tests/Instances/InstanceMapBindingTests.cs,automated_focus_pass,not_retail_complete,"SpaceMadnessMapScript OnAddToMap is covered by focused tests proving player entry joins PE390 and queues the WIP on-create cinematic hook. The exact cinematic payload, route/challenge mechanics, rewards, achievements, and client smoke remain tracked by the script-presentation, producer, dependency, and parent instance rows."
expedition,2188,Deep Space Exploration,Source\NexusForever.Script.Instance\Expedition\DeepSpaceExploration\DeepSpaceExplorationMapScript.cs,33,DeepSpaceExplorationMapScript,map_script,2188,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,instance_map_entity_lifecycle_handler_pending_mechanics_smoke,Source/NexusForever.Script.Instance;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Decomp/Analysis/CONTENT_RETAIL_COMPLETENESS_TRACKER.md,pending,not_retail_complete,"Instance script handler is tracked, but retail completion needs exact trigger order, state transitions, target selection, cleanup behavior, rewards/loot side effects, and manual instance smoke."
expedition,3180,Fragment Zero,Source\NexusForever.Script.Instance\Expedition\FragmentZero\FragmentZeroMapScript.cs,28,FragmentZeroMapScript,map_script,3180,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,runtime_fragment_zero_map_onadd_player_join_and_cinematic_hook_tested,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Source/NexusForever.Script.Instance/Expedition/FragmentZero/FragmentZeroMapScript.cs;Source/NexusForever.Game.Tests/Instances/BranchCinematicHookMapScriptTests.cs;Source/NexusForever.Game.Tests/Instances/InstanceMapBindingTests.cs,automated_focus_pass,not_retail_complete,"FragmentZeroMapScript OnAddToMap is covered by focused tests proving player entry joins PE680 and queues the WIP on-create cinematic hook. The exact cinematic payload, encounter mechanics, rewards, achievements, and client smoke remain tracked by the script-presentation, producer, dependency, and parent instance rows."
expedition,3404,Evil from the Ether,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherMapScript.cs,28,EvilFromTheEtherMapScript,map_script,3404,,,OnAddToMap,map_entity_lifecycle,public override void OnAddToMap(IGridEntity entity),script_owner_matches_instance_world,runtime_evil_from_ether_map_onadd_player_join_and_cinematic_hook_tested,wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Source/NexusForever.Script.Instance/Expedition/EvilFromTheEther/EvilFromTheEtherMapScript.cs;Source/NexusForever.Game.Tests/Instances/BranchCinematicHookMapScriptTests.cs;Source/NexusForever.Game.Tests/Instances/InstanceMapBindingTests.cs,automated_focus_pass,not_retail_complete,"EvilFromTheEtherMapScript OnAddToMap is covered by focused tests proving player entry joins PE781 and queues the WIP on-create cinematic hook. The exact cinematic payload, encounter mechanics, rewards, achievements, and client smoke remain tracked by the script-presentation, producer, dependency, and parent instance rows."
raid,3102,Map\RedMoonTerror40man,Source\NexusForever.Script.Instance\Raid\RedMoonTerror\FortyMan\RedMoonTerror40ManEventScript.cs,38,RedMoonTerror40ManEventScript,public_event_script,650,,,OnLoad,script_lifecycle,public void OnLoad(IPublicEvent owner),script_owner_matches_instance_public_event,instance_script_lifecycle_handler_pending_mechanics_smoke,Source/NexusForever.Script.Instance;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;Decomp/Analysis/CONTENT_RETAIL_COMPLETENESS_TRACKER.md,pending,not_retail_complete,"Instance script handler is tracked, but retail completion needs exact trigger order, state transitions, target selection, cleanup behavior, rewards/loot side effects, and manual instance smoke."
