evidence_kind,source_map,source_row_id,jabbithole_public_event_id,public_event_id,public_event_name,client_public_event_name,public_event_link_status,parent_public_event_id,parent_event_link_status,child_public_event_id,child_event_link_status,related_jabbithole_id,related_client_id,related_source_name,related_client_name,match_status,detail_type,detail_flags,detail_count,world_zone_id,world_location_id,quest_direction_id,target_group_id,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
public_event_creature,creature_public_event_map.csv,2195,221,28,Gorgefly Swarm,Gorgefly Swarm,current_public_event,220,current_public_event,,,15186,63552,Pack Kurg,Pack Kurg,ambiguous_name,11,0,,20,,,,6,blocked_public_event_creature_ambiguous_requires_bridge_review,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 2195 links Jabbithole creature 15186 (Pack Kurg) to ambiguous Creature2 63552 (Pack Kurg) for PublicEvent 28. Required evidence source: manual bridge review choosing the correct Creature2/build variant, followed by spawn/import, objective-credit ownership, and event smoke."
public_event_creature,creature_public_event_map.csv,2421,221,28,Gorgefly Swarm,Gorgefly Swarm,current_public_event,220,current_public_event,,,15195,53313,Pack Kurg,Pack Kurg,scored_name,11,0,,20,,,,6,mapped_public_event_creature_blocked_missing_reviewed_bridge_spawn_credit_smoke,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 2421 maps Jabbithole creature 15195 (Pack Kurg) to Creature2 53313 (Pack Kurg) with match_status scored_name for PublicEvent 28. Required evidence source: reviewed bridge confirmation plus runtime spawn/import or script ownership proving PublicEventId/event membership, objective-credit behavior, rewards/medals, and client smoke."
public_event_creature,creature_public_event_map.csv,2465,221,28,Gorgefly Swarm,Gorgefly Swarm,current_public_event,220,current_public_event,,,30860,63552,Pack Kurg,Pack Kurg,ambiguous_name,11,0,,20,,,,6,blocked_public_event_creature_ambiguous_requires_bridge_review,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 2465 links Jabbithole creature 30860 (Pack Kurg) to ambiguous Creature2 63552 (Pack Kurg) for PublicEvent 28. Required evidence source: manual bridge review choosing the correct Creature2/build variant, followed by spawn/import, objective-credit ownership, and event smoke."
public_event_creature,creature_public_event_map.csv,2476,221,28,Gorgefly Swarm,Gorgefly Swarm,current_public_event,220,current_public_event,,,16154,,Break Camp,,unmatched,11,0,,20,,,,6,blocked_public_event_creature_unmatched_missing_client_creature_bridge,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 2476 links Jabbithole creature 16154 (Break Camp) to PublicEvent 28, but no build 16042 Creature2 bridge is mapped. Required evidence source: reviewed Creature2 bridge, spawn/import placement, objective-credit ownership, and event smoke."
public_event_creature,creature_public_event_map.csv,1342,241,33,Rusty's Scrapyard,Rusty's Scrapyard,current_public_event,220,current_public_event,,,15603,33173,Caravan Master Braithwait,Caravan Master Braithwait,ambiguous_name,11,5,,20,,,,6,blocked_public_event_creature_ambiguous_requires_bridge_review,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 1342 links Jabbithole creature 15603 (Caravan Master Braithwait) to ambiguous Creature2 33173 (Caravan Master Braithwait) for PublicEvent 33. Required evidence source: manual bridge review choosing the correct Creature2/build variant, followed by spawn/import, objective-credit ownership, and event smoke."
public_event_creature,creature_public_event_map.csv,1499,241,33,Rusty's Scrapyard,Rusty's Scrapyard,current_public_event,220,current_public_event,,,15441,33173,Caravan Master Braithwait,Caravan Master Braithwait,ambiguous_name,11,5,,20,,,,6,blocked_public_event_creature_ambiguous_requires_bridge_review,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 1499 links Jabbithole creature 15441 (Caravan Master Braithwait) to ambiguous Creature2 33173 (Caravan Master Braithwait) for PublicEvent 33. Required evidence source: manual bridge review choosing the correct Creature2/build variant, followed by spawn/import, objective-credit ownership, and event smoke."
public_event_creature,creature_public_event_map.csv,1002,213,34,Brokenhorn Valley,Brokenhorn Valley,current_public_event,220,current_public_event,,,15263,53250,Spirit of Clanlord Vezrek,Spirit of Clanlord Vezrek,scored_name,11,5,,20,,,8061,7,mapped_public_event_creature_blocked_missing_reviewed_bridge_spawn_credit_smoke,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/output/public_event_objective_map.csv;Tools/DataMapping/output/client_source_targetgroup_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 1002 maps Jabbithole creature 15263 (Spirit of Clanlord Vezrek) to Creature2 53250 (Spirit of Clanlord Vezrek) with match_status scored_name for PublicEvent 34. Required evidence source: reviewed bridge confirmation plus runtime spawn/import or script ownership proving PublicEventId/event membership, objective-credit behavior, rewards/medals, and client smoke."
public_event_creature,creature_public_event_map.csv,1336,213,34,Brokenhorn Valley,Brokenhorn Valley,current_public_event,220,current_public_event,,,16615,53251,Leraak,Leraak,scored_name,11,5,,20,,,3894,6,mapped_public_event_creature_blocked_missing_reviewed_bridge_spawn_credit_smoke,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/output/public_event_objective_map.csv;Tools/DataMapping/output/client_source_targetgroup_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 1336 maps Jabbithole creature 16615 (Leraak) to Creature2 53251 (Leraak) with match_status scored_name for PublicEvent 34. Required evidence source: reviewed bridge confirmation plus runtime spawn/import or script ownership proving PublicEventId/event membership, objective-credit behavior, rewards/medals, and client smoke."
public_event_creature,creature_public_event_map.csv,1424,213,34,Brokenhorn Valley,Brokenhorn Valley,current_public_event,220,current_public_event,,,18610,32687,Spirit of Clanlord Vezrek,Spirit of Clanlord Vezrek,scored_name,11,5,,20,,,8061,7,mapped_public_event_creature_blocked_missing_reviewed_bridge_spawn_credit_smoke,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/output/public_event_objective_map.csv;Tools/DataMapping/output/client_source_targetgroup_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 1424 maps Jabbithole creature 18610 (Spirit of Clanlord Vezrek) to Creature2 32687 (Spirit of Clanlord Vezrek) with match_status scored_name for PublicEvent 34. Required evidence source: reviewed bridge confirmation plus runtime spawn/import or script ownership proving PublicEventId/event membership, objective-credit behavior, rewards/medals, and client smoke."
public_event_creature,creature_public_event_map.csv,1436,213,34,Brokenhorn Valley,Brokenhorn Valley,current_public_event,220,current_public_event,,,15603,33173,Caravan Master Braithwait,Caravan Master Braithwait,ambiguous_name,11,5,,20,,,,6,blocked_public_event_creature_ambiguous_requires_bridge_review,Tools/DataMapping/output/creature_public_event_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Decomp/Analysis/CONTINUATION_GUIDE.md;Decomp/Analysis/BLOCKER_EVIDENCE_PLAN.md;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Public-event creature relation 1436 links Jabbithole creature 15603 (Caravan Master Braithwait) to ambiguous Creature2 33173 (Caravan Master Braithwait) for PublicEvent 34. Required evidence source: manual bridge review choosing the correct Creature2/build variant, followed by spawn/import, objective-credit ownership, and event smoke."
