quest_id,quest_name,quest_bucket,quest_completion_status,reward_source,reward_slot,reward_id,reward_type,object_id,object_amount,flags,support_status,evidence_status,completion_status,evidence_sources,manual_validation,blocker_summary
1,,review_required,not_retail_complete,Quest2Reward,,158,2,177,100,1,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
1,,review_required,not_retail_complete,Quest2Reward,,159,1,1,1,1,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
812,,review_required,not_retail_complete,Quest2Reward,,4668,1,179,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
812,,review_required,not_retail_complete,Quest2Reward,,4669,1,179,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
812,,review_required,not_retail_complete,Quest2Reward,,4670,1,179,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
812,,review_required,not_retail_complete,Quest2Reward,,4671,1,179,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
812,,review_required,not_retail_complete,Quest2Reward,,4672,1,179,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
1808,,generic_table_driven,not_retail_complete,Quest2Reward,,3075,2,260,200,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2042,,generic_table_driven,not_retail_complete,Quest2Reward,,1038,1,4469,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2043,,generic_table_driven,not_retail_complete,Quest2Reward,,1039,1,4471,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2044,,generic_table_driven,not_retail_complete,Quest2Reward,,1040,1,4470,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2045,Refine Yellow Ore to Duralumin Alloy (Minigame Analogue),generic_table_driven,not_retail_complete,Quest2Reward,,1041,1,4467,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2046,,generic_table_driven,not_retail_complete,Quest2Reward,,1042,1,4469,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2047,,generic_table_driven,not_retail_complete,Quest2Reward,,1043,1,4471,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2050,,generic_table_driven,not_retail_complete,Quest2Reward,,1044,1,4474,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2050,,generic_table_driven,not_retail_complete,Quest2Reward,,1047,1,4083,100,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2051,,generic_table_driven,not_retail_complete,Quest2Reward,,1045,1,4475,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2051,,generic_table_driven,not_retail_complete,Quest2Reward,,1048,1,4473,100,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2052,,generic_table_driven,not_retail_complete,Quest2Reward,,1046,1,4476,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2052,,generic_table_driven,not_retail_complete,Quest2Reward,,1049,1,4084,100,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2058,,generic_table_driven,not_retail_complete,Quest2Reward,,1071,1,4508,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2059,,generic_table_driven,not_retail_complete,Quest2Reward,,1072,1,4508,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2073,,generic_table_driven,not_retail_complete,Quest2Reward,,1070,1,4507,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2074,,generic_table_driven,not_retail_complete,Quest2Reward,,1073,1,4509,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2075,,generic_table_driven,not_retail_complete,Quest2Reward,,1074,1,4510,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2076,,generic_table_driven,not_retail_complete,Quest2Reward,,1075,1,4512,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2077,,generic_table_driven,not_retail_complete,Quest2Reward,,1076,1,4513,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2078,,generic_table_driven,not_retail_complete,Quest2Reward,,1077,1,4512,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2079,,generic_table_driven,not_retail_complete,Quest2Reward,,1078,1,4514,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2080,,generic_table_driven,not_retail_complete,Quest2Reward,,1079,1,4518,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2081,,generic_table_driven,not_retail_complete,Quest2Reward,,1080,1,4518,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2082,,generic_table_driven,not_retail_complete,Quest2Reward,,1081,1,4519,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2083,,generic_table_driven,not_retail_complete,Quest2Reward,,1082,1,4605,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
2084,,generic_table_driven,not_retail_complete,Quest2Reward,,1083,1,4606,1,0,mapped_runtime_reward_path_pending_row_smoke,mapped_runtime_reward_path_pending_row_smoke,not_retail_complete,wildstar_client_mysql/Quest2Reward.tbl.sql;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game/Quest/QuestInfo.cs;Tools/WikiArchiveAudit/audit_wildstar_wiki.py,pending_or_not_applicable,"Reward row is table-backed but not retail-complete until quest completion, choice semantics, inventory/currency side effects, active rotations where applicable, and client-visible grants are verified."
