quest_id,quest_title,quest_bucket,quest_completion_status,quest_link_status,relation_source,source_relation_id,jabbithole_quest_id,jabbithole_quest_name,client_quest_name,jabbithole_zone_id,world_zone_id,jabbithole_zone_name,client_world_zone_name,match_status,enabled,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
2581,Bringing in the Harvest,generic_table_driven,not_retail_complete,current_quest,quest_zones,446,756,Bringing in the Harvest,Bringing in the Harvest,5,6,Auroria,,partial,true,3,datamapping_quest_zone_partial_match_pending_zone_review,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"quest_zones row 446 links Quest2 2581 Jabbithole zone 5 (Auroria) to WorldZone 6, but Tools/DataMapping/output/quest_zone_map.csv marks match_status partial. Tools/DataMapping/output/quest_zone_map.csv has no current build 16042 WorldZone row/name for mapped WorldZone 6; treat the source id as stale or missing until WorldZone.tbl, MapZone/QuestDirection evidence, or accepted live client route evidence identifies the current replacement. Retail implementation needs a reviewed current WorldZone bridge that reconciles the Jabbithole zone/name with build 16042 WorldZone data, followed by quest visibility/routing, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,214,772,Emergency Broadcast,Emergency Broadcast,5,6,Auroria,,partial,true,3,datamapping_quest_zone_partial_match_pending_zone_review,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"quest_call_zones row 214 links Quest2 2599 Jabbithole zone 5 (Auroria) to WorldZone 6, but Tools/DataMapping/output/quest_zone_map.csv marks match_status partial. Tools/DataMapping/output/quest_zone_map.csv has no current build 16042 WorldZone row/name for mapped WorldZone 6; treat the source id as stale or missing until WorldZone.tbl, MapZone/QuestDirection evidence, or accepted live client route evidence identifies the current replacement. Retail implementation needs a reviewed current WorldZone bridge that reconciles the Jabbithole zone/name with build 16042 WorldZone data, followed by quest visibility/routing, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,3881,772,Emergency Broadcast,Emergency Broadcast,6,7,Ellevar,,partial,true,0,datamapping_quest_zone_partial_match_pending_zone_review,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"quest_call_zones row 3881 links Quest2 2599 Jabbithole zone 6 (Ellevar) to WorldZone 7, but Tools/DataMapping/output/quest_zone_map.csv marks match_status partial. Tools/DataMapping/output/quest_zone_map.csv has no current build 16042 WorldZone row/name for mapped WorldZone 7; treat the source id as stale or missing until WorldZone.tbl, MapZone/QuestDirection evidence, or accepted live client route evidence identifies the current replacement. Retail implementation needs a reviewed current WorldZone bridge that reconciles the Jabbithole zone/name with build 16042 WorldZone data, followed by quest visibility/routing, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,3882,772,Emergency Broadcast,Emergency Broadcast,30,35,Crimelords of Whitevale,Northern Wilds,matched,true,0,datamapping_quest_zone_matched_pending_runtime_visibility_smoke,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_call_zones row 3882 links Quest2 2599 Jabbithole zone 30 (Crimelords of Whitevale) to WorldZone 35 (Northern Wilds) with match_status matched. The zone bridge is mapped, but retail completion needs runtime quest visibility/routing using this current WorldZone bridge, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,4644,772,Emergency Broadcast,Emergency Broadcast,40,60,Housing Skymap,Mozyk Quarry,matched,true,0,datamapping_quest_zone_matched_pending_runtime_visibility_smoke,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_call_zones row 4644 links Quest2 2599 Jabbithole zone 40 (Housing Skymap) to WorldZone 60 (Mozyk Quarry) with match_status matched. The zone bridge is mapped, but retail completion needs runtime quest visibility/routing using this current WorldZone bridge, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,4645,772,Emergency Broadcast,Emergency Broadcast,46,78,Illium,Western Ellevar,matched,true,0,datamapping_quest_zone_matched_pending_runtime_visibility_smoke,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_call_zones row 4645 links Quest2 2599 Jabbithole zone 46 (Illium) to WorldZone 78 (Western Ellevar) with match_status matched. The zone bridge is mapped, but retail completion needs runtime quest visibility/routing using this current WorldZone bridge, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,4646,772,Emergency Broadcast,Emergency Broadcast,2,2,Whitevale,,partial,true,0,datamapping_quest_zone_partial_match_pending_zone_review,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"quest_call_zones row 4646 links Quest2 2599 Jabbithole zone 2 (Whitevale) to WorldZone 2, but Tools/DataMapping/output/quest_zone_map.csv marks match_status partial. Tools/DataMapping/output/quest_zone_map.csv has no current build 16042 WorldZone row/name for mapped WorldZone 2; treat the source id as stale or missing until WorldZone.tbl, MapZone/QuestDirection evidence, or accepted live client route evidence identifies the current replacement. Retail implementation needs a reviewed current WorldZone bridge that reconciles the Jabbithole zone/name with build 16042 WorldZone data, followed by quest visibility/routing, map guidance, episode/zone ordering, and client quest smoke."
2599,Emergency Broadcast,generic_table_driven,not_retail_complete,current_quest,quest_zones,474,772,Emergency Broadcast,Emergency Broadcast,5,6,Auroria,,partial,true,3,datamapping_quest_zone_partial_match_pending_zone_review,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"quest_zones row 474 links Quest2 2599 Jabbithole zone 5 (Auroria) to WorldZone 6, but Tools/DataMapping/output/quest_zone_map.csv marks match_status partial. Tools/DataMapping/output/quest_zone_map.csv has no current build 16042 WorldZone row/name for mapped WorldZone 6; treat the source id as stale or missing until WorldZone.tbl, MapZone/QuestDirection evidence, or accepted live client route evidence identifies the current replacement. Retail implementation needs a reviewed current WorldZone bridge that reconciles the Jabbithole zone/name with build 16042 WorldZone data, followed by quest visibility/routing, map guidance, episode/zone ordering, and client quest smoke."
3160,Cornered Prey,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,315,950,Cornered Prey,Cornered Prey,11,15,Deradune,,partial,true,3,datamapping_quest_zone_partial_match_pending_zone_review,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest;Tools/DataMapping/README.md,pending,not_retail_complete,"quest_call_zones row 315 links Quest2 3160 Jabbithole zone 11 (Deradune) to WorldZone 15, but Tools/DataMapping/output/quest_zone_map.csv marks match_status partial. Tools/DataMapping/output/quest_zone_map.csv has no current build 16042 WorldZone row/name for mapped WorldZone 15; treat the source id as stale or missing until WorldZone.tbl, MapZone/QuestDirection evidence, or accepted live client route evidence identifies the current replacement. Retail implementation needs a reviewed current WorldZone bridge that reconciles the Jabbithole zone/name with build 16042 WorldZone data, followed by quest visibility/routing, map guidance, episode/zone ordering, and client quest smoke."
3160,Cornered Prey,generic_table_driven,not_retail_complete,current_quest,quest_call_zones,2455,950,Cornered Prey,Cornered Prey,46,78,Illium,Western Ellevar,matched,true,0,datamapping_quest_zone_matched_pending_runtime_visibility_smoke,Tools/DataMapping/output/quest_zone_map.csv;Tools/DataMapping/map_wildstar_data.py;jabbithole_mysql/quest_zones.sql;jabbithole_mysql/quest_call_zones.sql;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/WorldZone.tbl.sql;Source/NexusForever.Game/Quest,pending,not_retail_complete,"quest_call_zones row 2455 links Quest2 3160 Jabbithole zone 46 (Illium) to WorldZone 78 (Western Ellevar) with match_status matched. The zone bridge is mapped, but retail completion needs runtime quest visibility/routing using this current WorldZone bridge, map guidance, episode/zone ordering, and client quest smoke."
