quest_id,name,bucket,evidence_status,completion_status,world_zone_id,quest_category_id,quest_group_id,quest_type,quest_subtype_id,content_finder_type,faction_enum,con_level,prereq_level,prereq_flags,prereq_quest_ids,quest_exclusion_ids,prerequisite_id,objective_ids,objective_types,objective_data_type_data_count,quest2_reward_ids,quest2_reward_types,pushed_items,virtual_pushed_items,quest_virtual_loot_groups,related_achievement_ids,script_paths,evidence_sources,manual_validation,blocker_summary
1177,Home on the Range,no_objectives,mapped_only_no_objective_lifecycle_pending_row_specific_dialog_reward_achievement_smoke,not_retail_complete,1480,52,0,6,71,0,0,6,3,8,,,0,,,,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Source/NexusForever.Game/Entity/QuestManager.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs,pending_or_not_applicable,"Quest2 1177 (Home on the Range) with WorldZone 1480, category 52, type 6, subtype 71, conLevel 6, preqLevel 3, preqFlags 8 is a zero-objective row. Shared QuestManager accept-to-achieved and receiver turn-in lifecycle paths have representative reward and achievement-hook tests, but retail completion still needs quest availability, row-specific receiver/dialog routing, row-specific reward and achievement side effects, and client/manual smoke."
1804,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,49,1,0,,,0,1889,2,1889:2:5006:3,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1804 with WorldZone 262, faction 2, conLevel 49, preqLevel 1, objectives 1889, objective types 2, objective data/type/count 1889:2:5006:3 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1805,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1890;6807,15;32,1890:15:4976:2;6807:32:1:3,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1805 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1890;6807, objective types 15;32, objective data/type/count 1890:15:4976:2;6807:32:1:3 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1806,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1891,8,1891:8:307:4,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1806 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1891, objective types 8, objective data/type/count 1891:8:307:4 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1807,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1892,16,1892:16:307:2,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1807 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1892, objective types 16, objective data/type/count 1892:16:307:2 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1808,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1893,12,1893:12:5010:1,3075,2,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1808 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1893, objective types 12, objective data/type/count 1893:12:5010:1, Quest2Reward rows 3075, reward types 2 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1809,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1913,11,1913:11:30485:1,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1809 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1913, objective types 11, objective data/type/count 1913:11:30485:1 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1812,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1912,5,1912:5:0:1,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1812 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1912, objective types 5, objective data/type/count 1912:5:0:1 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1822,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1914,5,1914:5:0:1,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1822 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1914, objective types 5, objective data/type/count 1914:5:0:1 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
1823,,generic_table_driven,mapped_table_driven_pending_world_spawns_loot_smoke,not_retail_complete,262,0,0,0,0,0,2,1,1,0,,,0,1915,14,1915:14:310:3,,,,,0,,,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Quest2Reward.tbl.sql;wildstar_client_mysql/Achievement*.tbl.sql;Source/NexusForever.Script.Main;Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending_or_not_applicable,"Quest2 1823 with WorldZone 262, faction 2, conLevel 1, preqLevel 1, objectives 1915, objective types 14, objective data/type/count 1915:14:310:3 is mapped through generic table coverage, but this is not a retail-complete gameplay claim; world placements, objective triggers, loot cadence, rewards, achievements, and client smoke remain row-specific validation work."
