evidence_kind,script_scope,source_path,source_line,script_owner_ids,script_filter_name,source_call,source_symbol,source_excerpt,producer_targeting,objective_id,objective_type_id,objective_type_name,object_id,update_count,matched_objective_count,matched_public_event_objective_ids,matched_public_event_ids,matched_public_event_names,matched_objective_names,reference_link_status,owner_link_status,enum_namespace,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalEventScript.cs,35,673;4358;7845,,ActivateObjective,PublicEventObjective.SurviveTheTrials,publicEvent.ActivateObjective(PublicEventObjective.SurviveTheTrials);,direct_objective,4358,5,Script,7845,,1,4358,673,Levian Bay Adventure,Survive the Trials,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.BayOfBetrayal,runtime_bay_betrayal_parent_survive_trials_activation_tested_pending_trial_branch_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/PublicEventVote.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalMapScript.cs;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalEventScript.cs;Source/NexusForever.Game.Tests/Instances/BayOfBetrayalAdventureScriptTests.cs,automated_focus_pass_pending_trial_branch_client_smoke,not_retail_complete,"Build 16042 public event 673 is the Bay of Betrayal parent event and objective 4358 is the parent 'Survive the Trials' row. BayOfBetrayalEventScript now activates that parent objective and finishes PE 673 if the objective succeeds. Retail completion still needs child-event routing for PE 674 Trial of Will, PE 675 Trial of Cunning, PE 676 Trial of Endurance, and PE 695 Charging Station, exact technopathy/race/medal mechanics, queue/prerequisite smoke, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,37,672;4357;12392;68376,,ActivateObjective,PublicEventObjective.TalkToHeraldAnkumar,publicEvent.ActivateObjective(PublicEventObjective.TalkToHeraldAnkumar);,direct_objective,4357,17,TalkTo,12392,,1,4357,672,The Truth Will Set You Free,Talk to $(creature=68376) near the shore,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.BayOfBetrayal,runtime_bay_betrayal_intro_herald_talk_activation_tested,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalMapScript.cs;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalIntroEventScript.cs;Source/NexusForever.Game.Tests/Instances/BayOfBetrayalAdventureScriptTests.cs,automated_focus_pass,not_retail_complete,"Build 16042 MatchingGameMap 86 maps Veteran: Bay of Betrayal to world 3176 / Map\AdventureLevianBay as a level-50 five-player adventure. Public event 672 is the intro 'The Truth Will Set You Free'; objective 4357 is the opening 'Talk to Herald Anku'mar near the shore' row. TargetGroup 12392 maps to Creature2 68376 Herald Anku'mar - Intro - Levian Bay Adventure. BayOfBetrayalIntroEventScript now activates that row and advances to the speech bridge only after it succeeds. Retail completion still needs queue/prerequisite smoke, exact Herald placement/dialog timing, branch handoff proof, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,40,672;4563;12392;68376,,ActivateObjective,PublicEventObjective.ListenToHeraldAnkumarSpeech,publicEvent.ActivateObjective(PublicEventObjective.ListenToHeraldAnkumarSpeech);,direct_objective,4563,13,TimedWin,12392,,1,4563,672,The Truth Will Set You Free,Listen to $p(creature=68376) speech,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.BayOfBetrayal,runtime_bay_betrayal_intro_herald_speech_script_credit_tested_pending_dialog_timing_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalMapScript.cs;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalIntroEventScript.cs;Source/NexusForever.Game.Tests/Instances/BayOfBetrayalAdventureScriptTests.cs,automated_focus_pass_pending_dialog_timing_and_intro_client_smoke,not_retail_complete,"Build 16042 objective 4563 is the intro 'Listen to Herald Anku'mar speech' row on public event 672 using TargetGroup 12392 / Creature2 68376. BayOfBetrayalIntroEventScript activates and direct-credits it as a guarded dialog bridge after objective 4357 succeeds, then advances to the protect-Herald phase. Retail completion still needs exact speech/cinematic timing, dialog payload proof, branch handoff proof, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,44,672;4564;12392;68376,,ActivateObjective,PublicEventObjective.ProtectHeraldAnkumar,publicEvent.ActivateObjective(PublicEventObjective.ProtectHeraldAnkumar);,direct_objective,4564,20,Exterminate,12392,,1,4564,672,The Truth Will Set You Free,Protect $(creature=68376),direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.BayOfBetrayal,runtime_bay_betrayal_intro_protect_herald_activation_tested_pending_encounter_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalMapScript.cs;Source/NexusForever.Script.Instance/Adventure/BayOfBetrayal/BayOfBetrayalIntroEventScript.cs;Source/NexusForever.Game.Tests/Instances/BayOfBetrayalAdventureScriptTests.cs,automated_focus_pass_pending_intro_encounter_client_smoke,not_retail_complete,"Build 16042 objective 4564 is the intro 'Protect Herald Anku'mar' row on public event 672 using TargetGroup 12392 / Creature2 68376. BayOfBetrayalIntroEventScript now activates the protect objective after the speech bridge and finishes PE 672 when it succeeds. Retail completion still needs exact protect encounter producers, spawn timing, Herald damage/visibility proof, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,40,146;309,,ActivateObjective,PublicEventObjective.GetOnYourHoverbike,publicEvent.ActivateObjective(PublicEventObjective.GetOnYourHoverbike);,direct_objective,309,9,ScriptWithoutCount,,,1,309,146,Crimelords of Whitevale,Get on your Hoverbike,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,runtime_crimelords_parent_hoverbike_objective_activation_tested_pending_vehicle_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleMapScript.cs;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleEventScript.cs;Source/NexusForever.Game.Tests/Instances/CrimelordsOfWhitevaleAdventureScriptTests.cs,automated_focus_pass_pending_vehicle_and_client_smoke,not_retail_complete,"Build 16042 MatchingGameMap 25 and 51 map Crimelords of Whitevale to world 1323 / Map\AdventureWhitevale, with normal and veteran queue rows. Public event 146 is the Crimelords parent event; objective 309 is the opening ScriptWithoutCount 'Get on your Hoverbike' row. CrimelordsOfWhitevaleEventScript now activates that row and advances to the murder-investigation phase when it succeeds. Retail completion still needs exact hoverbike vehicle activation, queue/prerequisite smoke, gang branch routing, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,43,146;315,,ActivateObjective,PublicEventObjective.FindOutWhoKilledTheBloodScions,publicEvent.ActivateObjective(PublicEventObjective.FindOutWhoKilledTheBloodScions);,direct_objective,315,5,Script,,,1,315,146,Crimelords of Whitevale,Find out who killed the Blood Scions,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,runtime_crimelords_parent_murder_investigation_activation_tested_pending_branch_producers,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleMapScript.cs;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleEventScript.cs;Source/NexusForever.Game.Tests/Instances/CrimelordsOfWhitevaleAdventureScriptTests.cs,automated_focus_pass_pending_investigation_branch_client_smoke,not_retail_complete,"Build 16042 objective 315 is the parent 'Find out who killed the Blood Scions' row on public event 146. CrimelordsOfWhitevaleEventScript now activates the investigation objective after the hoverbike objective succeeds and advances to the Thermock-gangster phase when it succeeds. Retail completion still needs branch-selection proof for Criminal Enterprise and War in the Streets events, exact objective producers, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,46,146;318,,ActivateObjective,PublicEventObjective.BecomeTheBiggestGangstersInThermock,publicEvent.ActivateObjective(PublicEventObjective.BecomeTheBiggestGangstersInThermock);,direct_objective,318,5,Script,,,1,318,146,Crimelords of Whitevale,Become the biggest gangsters in Thermock,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,runtime_crimelords_parent_biggest_gangsters_activation_tested_pending_loyalty_branch_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleMapScript.cs;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleEventScript.cs;Source/NexusForever.Game.Tests/Instances/CrimelordsOfWhitevaleAdventureScriptTests.cs,automated_focus_pass_pending_loyalty_branch_client_smoke,not_retail_complete,"Build 16042 objective 318 is the parent 'Become the biggest gangsters in Thermock' row on public event 146. CrimelordsOfWhitevaleEventScript now activates that parent objective after the murder-investigation row succeeds and advances to the clubhouse return when it succeeds. Retail completion still needs exact gang loyalty/score semantics, child event routing for PE 111-114, 281-286, 288-302, 308-321, 338-340, 367-369, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,49,146;1482,,ActivateObjective,PublicEventObjective.ReturnToTheBloodScionsClubhouse,publicEvent.ActivateObjective(PublicEventObjective.ReturnToTheBloodScionsClubhouse);,direct_objective,1482,5,Script,,,1,1482,146,Crimelords of Whitevale,Return to the Blood Scions Clubhouse,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,runtime_crimelords_parent_return_clubhouse_activation_tested_pending_finale_routing_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleMapScript.cs;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleEventScript.cs;Source/NexusForever.Game.Tests/Instances/CrimelordsOfWhitevaleAdventureScriptTests.cs,automated_focus_pass_pending_finale_client_smoke,not_retail_complete,"Build 16042 objective 1482 is the parent 'Return to the Blood Scions Clubhouse' row on public event 146. CrimelordsOfWhitevaleEventScript now activates the clubhouse return objective after the Thermock-gangster row succeeds and advances to the final onslaught when it succeeds. Retail completion still needs exact clubhouse routing, trigger/vehicle proof, finale child-event setup, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,52,146;1483,,ActivateObjective,PublicEventObjective.SurviveTheFinalOnslaught,publicEvent.ActivateObjective(PublicEventObjective.SurviveTheFinalOnslaught);,direct_objective,1483,5,Script,,,1,1483,146,Crimelords of Whitevale,Survive the final onslaught at the Clubhouse,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,runtime_crimelords_parent_final_onslaught_activation_tested_pending_wave_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleMapScript.cs;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleEventScript.cs;Source/NexusForever.Game.Tests/Instances/CrimelordsOfWhitevaleAdventureScriptTests.cs,automated_focus_pass_pending_final_wave_client_smoke,not_retail_complete,"Build 16042 objective 1483 is the parent 'Survive the final onslaught at the Clubhouse' row on public event 146. CrimelordsOfWhitevaleEventScript now activates that finale objective after the clubhouse return succeeds and advances to the Blood Scions revenge objective when it succeeds. Retail completion still needs exact final-onset waves, clubhouse spawn/cadence/choreography, rewards, achievements, and full adventure smoke."
script_activate_objective_call,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,55,146;1484,,ActivateObjective,PublicEventObjective.AvengeTheBloodScions,publicEvent.ActivateObjective(PublicEventObjective.AvengeTheBloodScions);,direct_objective,1484,5,Script,,,1,1484,146,Crimelords of Whitevale,Avenge the Blood Scions,direct_objective_row_matched,script_owner_matches_public_event,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,runtime_crimelords_parent_avenge_blood_scions_activation_tested_pending_boss_smoke,wildstar_client_mysql/MatchingGameMap.tbl.sql;wildstar_client_mysql/World.tbl.sql;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/en-US.bin.sql;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleMapScript.cs;Source/NexusForever.Script.Instance/Adventure/CrimelordsOfWhitevale/CrimelordsOfWhitevaleEventScript.cs;Source/NexusForever.Game.Tests/Instances/CrimelordsOfWhitevaleAdventureScriptTests.cs,automated_focus_pass_pending_final_boss_client_smoke,not_retail_complete,"Build 16042 objective 1484 is the parent 'Avenge the Blood Scions' row on public event 146. CrimelordsOfWhitevaleEventScript now activates that final parent objective after the clubhouse onslaught succeeds and finishes PE 146 when it succeeds. Retail completion still needs exact final boss/objective producers, medal and gang-loyalty side effects, normal/veteran reward tables, achievements, and full adventure smoke."
