evidence_kind,script_scope,source_path,source_line,script_owner_ids,source_call,source_symbol,reference_id,client_link_status,client_text,client_world_id,client_world_zone_id,client_creature_id,cinematic_interface,cinematic_implementation_class,cinematic_implementation_path,cinematic_duration_ms,runtime_payload_status,enum_namespace,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_cinematic_finish_hook,script_instance,Source\NexusForever.Script.Instance\EventInstance\ShadesEve\ShadesEveMainEventScript.cs,122,597,OnCinematicFinish,cinematicId,,runtime_callback_without_exact_client_id_gate,,,,,,,,,runtime_finish_callback_present,,script_cinematic_finish_hook_pending_exact_cinematic_id_gate_and_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Cinematic finish hook is tracked, but retail completion needs exact Cinematic.tbl id gating, replay/cancel behavior, progression side effects, and client smoke."
script_cinematic_finish_hook,script_instance,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherEventScript.cs,766,781,OnCinematicFinish,cinematicId,,runtime_callback_without_exact_client_id_gate,,,,,,,,,runtime_finish_callback_present,,script_cinematic_finish_hook_pending_exact_cinematic_id_gate_and_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Cinematic finish hook is tracked, but retail completion needs exact Cinematic.tbl id gating, replay/cancel behavior, progression side effects, and client smoke."
script_cinematic_finish_hook,script_instance,Source\NexusForever.Script.Instance\Expedition\FragmentZero\FragmentZeroEventScript.cs,387,680,OnCinematicFinish,cinematicId,,runtime_callback_without_exact_client_id_gate,,,,,,,,,runtime_finish_callback_present,,script_cinematic_finish_hook_pending_exact_cinematic_id_gate_and_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Cinematic finish hook is tracked, but retail completion needs exact Cinematic.tbl id gating, replay/cancel behavior, progression side effects, and client smoke."
script_cinematic_finish_hook,script_instance,Source\NexusForever.Script.Instance\Raid\GeneticArchives\GeneticArchivesEventScript.cs,238,159,OnCinematicFinish,cinematicId,,runtime_callback_without_exact_client_id_gate,,,,,,,,,runtime_finish_callback_present,,script_cinematic_finish_hook_pending_exact_cinematic_id_gate_and_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Cinematic finish hook is tracked, but retail completion needs exact Cinematic.tbl id gating, replay/cancel behavior, progression side effects, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Dungeon\RuinsOfKelVoreth\Script\BloodPitCinematicTriggerScript.cs,47,445,CreateCinematic,IRuinsOfKelVorethEnter,0,zero_runtime_cinematic_id,,,,,IRuinsOfKelVorethEnter,RuinsOfKelVorethEnter,Source\NexusForever.Game\Cinematic\Cinematics\RuinsOfKelVorethEnter.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs,285,145,QueueWipGuessedCinematic,IStormtalonLairStormtalonReborn,0,zero_runtime_cinematic_id,,,,,IStormtalonLairStormtalonReborn,StormtalonLairStormtalonReborn,Source\NexusForever.Game\Cinematic\Cinematics\StormtalonLairStormtalonReborn.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\EventInstance\ProtostarsSuperMallInTheSky\ProtostarsSuperMallInTheSkyMapScript.cs,43,3094,CreateCinematic,IProtostarSuperMallInTheSkyOnCreate,0,zero_runtime_cinematic_id,,,,,IProtostarSuperMallInTheSkyOnCreate,ProtostarSuperMallInTheSkyOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\ProtostarSuperMallInTheSkyOnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\EventInstance\ShadesEve\ShadesEveMapScript.cs,38,3044,CreateCinematic,IShadesEveOnCreate,0,zero_runtime_cinematic_id,,,,,IShadesEveOnCreate,ShadesEveOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\ShadesEveOnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\DeepSpaceExploration\DeepSpaceExplorationMapScript.cs,43,2188,CreateCinematic,IDeepSpaceExplorationOnCreate,0,zero_runtime_cinematic_id,,,,,IDeepSpaceExplorationOnCreate,DeepSpaceExplorationOnCreate,Source\NexusForever.Game\Cinematic\Cinematics\DeepSpaceExplorationOnCreate.cs,0,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
script_cinematic_reference,script_instance,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherEventScript.cs,346,781,CreateCinematic,IEvilFromTheEtherOnOpenMedbay,0,zero_runtime_cinematic_id,,,,,IEvilFromTheEtherOnOpenMedbay,EvilFromTheEtherOnOpenMedbay,Source\NexusForever.Game\Cinematic\Cinematics\EvilFromTheEtherOnOpenMedbay.cs,19800,runtime_placeholder_or_wip_payload,,script_cinematic_placeholder_pending_payload_mapping,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;Source/NexusForever.Game/Cinematic/Cinematics;Source/NexusForever.Game.Abstract/Cinematic/Cinematics;Tools/DataMapping/output/client_source_cinematic_map.csv;wildstar_client_mysql/Cinematic.tbl.sql,pending,not_retail_complete,"Scripted cinematic reference is tracked, but retail completion needs exact trigger/replay timing, Cinematic.tbl id linkage, actor/camera/text payload proof, completion callback behavior, and client smoke."
