evidence_kind,script_scope,source_path,source_line,script_owner_ids,script_creature_ids,script_filter_name,source_call,source_symbol,source_excerpt,progression_targeting,quest_id,quest_title,quest_bucket,quest_completion_status,objective_id,objective_type_id,objective_type_name,object_id,update_count,achievement_id,achievement_title,matched_quest_ids,matched_quest_titles,matched_quest_objective_ids,matched_objective_text,reference_link_status,owner_link_status,source_trace_status,source_trace_detail,source_trace_sources,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\CrimsonIsleMapScript.cs,66,870,,,ObjectiveUpdate,Q5596CrashSiteObjective,"player.QuestManager.ObjectiveUpdate(Q5596CrashSiteObjective, 1u);",direct_quest_objective,5596,Ordnance Recovery,curated_full,not_retail_complete,8255,22,EnterArea,2788,1,,,5596,Ordnance Recovery,8255,"Find the Blimp Crash Site near the <text Link=""Location:19516"">Forward Operating Base</text>",direct_objective_row_matched,script_owner_not_current_quest,literal_or_constant_client_reference_tracked,objective_expression=Q5596CrashSiteObjective;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_objective_update_matched_pending_owner_review,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_quest_add,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\CrimsonIsleQuestChain.cs,61,,,,QuestAdd,info<-questId,owner.Player.QuestManager.QuestAdd(info);,quest_info,,,,,,,,,,,,,,,,dynamic_quest_info,script_owner_not_declared,dynamic_progression_source_expression_tracked,quest_info_source=info=GetQuestInfo(questId);link_status=source_expression_tracked,Source/NexusForever.Script.Main,script_quest_add_dynamic_quest_info_pending_trace,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest grant hook is tracked, but retail completion needs prerequisite, duplicate, visibility, accept-state, and quest-chain smoke."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5573PoweringDown.cs,52,5573,,,ObjectiveUpdate,QObjCinematicComplete,"owner.ObjectiveUpdate(QObjCinematicComplete, 1u);",direct_quest_objective,5573,Powering Down,curated_full,not_retail_complete,12870,5,ActivateEntity,0,1,,,5573,Powering Down,12870,,direct_objective_row_matched,script_owner_matches_quest,literal_or_constant_client_reference_tracked,objective_expression=QObjCinematicComplete;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q5573_power_regulator_hidden_completion_hook_tested,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5573PoweringDown.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5575.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/InteractionObjectiveUpdater.cs;Source/NexusForever.Game/Spell/SpellEffectHandler.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q5573 hidden completion objective credit is covered by focused tests for the Power Regulator completion callback, cinematic queue, and already-achieved negative path. Remaining client activation, cinematic timing, reward, achievement, and end-to-end smoke stay tracked by the parent quest/objective blockers."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5575.cs,46,5575,,,ObjectiveUpdate,QObjPowerRegulatorsComplete,"owner.ObjectiveUpdate(QObjPowerRegulatorsComplete, 1u);",direct_quest_objective,5575,Seizing Power,curated_full,not_retail_complete,12871,5,ActivateEntity,0,1,,,5575,Seizing Power,12871,,direct_objective_row_matched,script_owner_matches_quest,literal_or_constant_client_reference_tracked,objective_expression=QObjPowerRegulatorsComplete;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q5575_power_regulator_hidden_completion_hook_tested,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5573PoweringDown.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5575.cs;Source/NexusForever.WorldServer/Network/Message/Handler/Entity/InteractionObjectiveUpdater.cs;Source/NexusForever.Game/Spell/SpellEffectHandler.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md,pending,not_retail_complete,"Q5575 hidden completion objective credit is covered by focused tests for the Power Regulator completion callback and already-achieved negative path. Remaining client activation, hidden-objective timing, reward, achievement, and end-to-end smoke stay tracked by the parent quest/objective blockers."
script_quest_achieve,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5594LastResistance.cs,28,,39962,,QuestAchieve,5594,activator.QuestManager.QuestAchieve(5594);,quest_id,5594,Last Resistance,curated_full,not_retail_complete,,,,,,,,5594,Last Resistance,,,quest_row_matched,script_owner_not_declared,literal_or_constant_client_reference_tracked,quest_expression=5594;link_status=numeric_literal_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_achieve_target_matched_pending_state_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest achieve hook is tracked, but retail completion needs accepted-state gating, completion side effects, reward availability, and client smoke."
script_achievement_grant,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5594LastResistance.cs,67,,31792,,GrantAchievement,AchievementWarbot,player.AchievementManager.GrantAchievement(AchievementWarbot);,achievement_id,,,,,,,,,,1730,That's One Mega Tech!,,,,,achievement_row_matched,script_owner_not_declared,literal_or_constant_client_reference_tracked,achievement_expression=AchievementWarbot;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_achievement_grant_target_matched_pending_unlock_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted achievement grant hook is tracked, but retail completion needs exact unlock conditions, duplicate behavior, quest/progression linkage, rewards/titles, and achievement UI smoke."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5594LastResistance.cs,69,,31792,,ObjectiveUpdate,QObjWarbotKill,"player.QuestManager.ObjectiveUpdate(QObjWarbotKill, 1u);",direct_quest_objective,5594,Last Resistance,curated_full,not_retail_complete,8249,5,ActivateEntity,24219,1,,,5594,Last Resistance,8249,"Sabotage the $(creature=31856) and Kill $(creature=31792) in <text Link=""Location:19520"">Megatech Station</text>",direct_objective_row_matched,script_owner_not_declared,literal_or_constant_client_reference_tracked,objective_expression=QObjWarbotKill;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_objective_update_matched_pending_owner_review,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_quest_typed_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5597.cs,49,,,,ObjectiveUpdate,QuestObjectiveType.VirtualCollect,"activator.QuestManager.ObjectiveUpdate(QuestObjectiveType.VirtualCollect, ChuaExplosivesVirtualItem, 1u);",typed_quest_objective,5597,Dregs and Thieves,curated_full,not_retail_complete,,32,VirtualCollect,364,1,,,5597,Dregs and Thieves,8256,"Retrieve $(vitem=364) from <text Link=""Location:19515"">Scarhide Camp</text>",typed_objective_row_matched,quest_state_guard_matches_quest,literal_or_constant_client_reference_tracked,object_id=ChuaExplosivesVirtualItem;object_link_status=numeric_constant_resolved;guard_quest_ids=5597,Source/NexusForever.Script.Main;wildstar_client_mysql,runtime_q5597_chua_explosives_virtual_collect_hook_tested_external_video_observed,wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/TargetGroup.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;Tools/DataMapping/output/quest_objective_map.csv;Tools/DataMapping/output/creature_quest_map.csv;Tools/DataMapping/output/creature_spawn_map.csv;Source/NexusForever.Script.Main/Quests/CrimsonIsle/CrimsonIsleMapScript.cs;Source/NexusForever.Script.Main/Quests/CrimsonIsle/Q5597.cs;Source/NexusForever.Game/Quest/Quest.cs;Source/NexusForever.Game/Quest/QuestObjective.cs;Source/NexusForever.Game.Tests/Quests/CrimsonIsleBranchInteractionTests.cs;Source/NexusForever.Game.Tests/Quest/QuestTests.cs;Decomp/Analysis/QUEST_IMPLEMENTATION_STATUS.md;Decomp/Analysis/VIDEO_EVIDENCE_MAP.md;I:/Videos/Wildstar Tutorial - Crimson Isle - Quests Part 1 (Dominion)/Wildstar Tutorial - Crimson Isle - Quests Part 1 (Dominion) (1080p_60fps_H264-128kbit_AAC).mp4;I:/Videos/Wildstar Tutorial - Crimson Isle - Quests Part 2 (Dominion)/Wildstar Tutorial - Crimson Isle - Quests Part 2 (Dominion) (1080p_30fps_H264-128kbit_AAC).mp4;Source/NexusForever.Game/Entity,pending,not_retail_complete,"Q5597 Chua Explosives virtual item 364 credit is covered by focused tests for collectable-unit and creature activation, missing quest, repeat activation, and all reviewed fallback activations, with external video corroborating the client objective flow. Remaining local client activation, reward, achievement, and end-to-end smoke stay tracked by the parent quest/objective blockers."
script_quest_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q5604TacticalDemolitions.cs,58,5604,,,ObjectiveUpdate,QObjCinematicComplete,"owner.ObjectiveUpdate(QObjCinematicComplete, 1u);",direct_quest_objective,5604,Tactical Demolitions ,curated_full,not_retail_complete,15918,5,ActivateEntity,0,1,,,5604,Tactical Demolitions ,15918,,direct_objective_row_matched,script_owner_matches_quest,literal_or_constant_client_reference_tracked,objective_expression=QObjCinematicComplete;link_status=numeric_constant_resolved,Source/NexusForever.Script.Main;wildstar_client_mysql,script_quest_objective_update_matched_pending_trigger_smoke,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
script_quest_typed_objective_update,script_main,Source\NexusForever.Script.Main\Quests\CrimsonIsle\Q8855StasisInterrupted.cs,38,,47687;47688,,ObjectiveUpdate,QuestObjectiveType.ActivateEntity,"player.QuestManager.ObjectiveUpdate(QuestObjectiveType.ActivateEntity, owner.CreatureId, 1u);",typed_quest_objective,8855,"Stasis, Interrupted",curated_full,not_retail_complete,,5,ActivateEntity,owner.CreatureId,1,,,8855,"Stasis, Interrupted",,,typed_objective_dynamic_object,quest_state_guard_matches_quest,dynamic_progression_source_expression_tracked,object_id=owner.CreatureId;object_link_status=source_expression_tracked;guard_quest_ids=8855,Source/NexusForever.Script.Main,script_quest_typed_objective_update_dynamic_runtime_context_pending_trace,Source/NexusForever.Script.Main;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;wildstar_client_mysql/Achievement.tbl.sql;Source/NexusForever.Game/Quest;Source/NexusForever.Game/Achievement,pending,not_retail_complete,"Scripted quest objective progression hook is tracked, but retail completion needs exact trigger timing, objective state, repeat/overcredit behavior, reward side effects, and quest smoke."
