evidence_kind,script_scope,source_path,source_line,script_owner_ids,script_filter_name,source_call,action_category,reference_kind,source_symbol,reference_id,reference_link_status,client_reference_status,client_reference_name,client_reference_sources,source_trace_status,source_trace_detail,source_trace_sources,source_excerpt,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\ColdbloodCitadel\ColdbloodCitadelEventScript.cs,384,907,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",script_entity_add_to_map_pending_spawn_lifecycle_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Scripted runtime action is tracked from source, but retail completion needs exact trigger timing, target selection, payload/effect semantics, cleanup/replay behavior, and content smoke."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\ProtogamesAcademy\ProtogamesAcademyEventScript.cs,431,667,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",script_entity_add_to_map_pending_spawn_lifecycle_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Scripted runtime action is tracked from source, but retail completion needs exact trigger timing, target selection, payload/effect semantics, cleanup/replay behavior, and content smoke."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\RuinsOfKelVoreth\RuinsOfKelVorethEventScript.cs,197,161,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_kel_voreth_boss_spawn_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/RuinsOfKelVoreth/RuinsOfKelVorethEventScript.cs;Source/NexusForever.Game.Tests/Instances/RuinsOfKelVorethEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Ruins of Kel Voreth reviewed boss spawn map-add action is covered by focused tests proving the spawned entity is enqueued at the mapped phase position. Exact boss mechanics, rewards, achievements, and client smoke remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\SanctuaryOfTheSwordmaiden\SanctuaryOfTheSwordmaidenEventScript.cs,262,166,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_swordmaiden_flame_crazed_demon_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/SanctuaryOfTheSwordmaiden/SanctuaryOfTheSwordmaidenEventScript.cs;Source/NexusForever.Game.Tests/Instances/SanctuaryOfTheSwordmaidenEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Sanctuary of the Swordmaiden Flame-Crazed Demon map-add action is covered by focused tests proving the created entity is enqueued at the reviewed position in world 1271. Exact boss mechanics, rewards, achievements, and client smoke remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\Skullcano\SkullcanoEventScript.cs,318,148,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_skullcano_opening_boss_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/Skullcano/SkullcanoEventScript.cs;Source/NexusForever.Game.Tests/Instances/SkullcanoEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Skullcano reviewed opening boss map-add action is covered by focused tests proving each spawned boss is enqueued at its mapped position. Exact boss mechanics, rewards, achievements, and client smoke remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\StormtalonsLair\StormtalonsLairEventScript.cs,710,145,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_stormtalon_shared_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/StormtalonsLair/StormtalonsLairEventScript.cs;Source/NexusForever.Game.Tests/Instances/StormtalonsLairEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Stormtalon's Lair shared map-add action is covered by focused tests proving reviewed boss, optional producer, cage, launch-pad, and high-priest trigger paths enqueue entities at expected positions. Route smoke, rewards, achievements, and client validation remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Dungeon\UltimateProtogames\UltimateProtogamesEventScript.cs,1467,594,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_up_shared_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Dungeon/UltimateProtogames/UltimateProtogamesEventScript.cs;Source/NexusForever.Game.Tests/Instances/UltimateProtogamesEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Ultimate Protogames shared map-add action is covered by focused tests proving reviewed start-button, boss, tank-room, timed-room, hunt, Power Plunge, Hut-Hut, and Prototentiary paths enqueue entities at expected positions. Route randomness, encounter mechanics, rewards, achievements, and client validation remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\EventInstance\ShadesEve\ShadesEveMainEventScript.cs,236,597,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",script_entity_add_to_map_pending_spawn_lifecycle_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Scripted runtime action is tracked from source, but retail completion needs exact trigger timing, target selection, payload/effect semantics, cleanup/replay behavior, and content smoke."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Expedition\EvilFromTheEther\EvilFromTheEtherEventScript.cs,590,781,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_evil_ether_shared_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/WorldLocation2.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Expedition/EvilFromTheEther/EvilFromTheEtherEventScript.cs;Source/NexusForever.Game.Tests/PublicEvents/EvilFromTheEtherEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Evil from the Ether shared map-add action is covered by focused tests proving airlock, teleporter, bridge, escape, and drive-spark paths enqueue entities at expected positions. Exact route timing, replay cleanup, rewards, achievements, and client smoke remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Expedition\FragmentZero\FragmentZeroEventScript.cs,243,680,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_fragment_zero_shared_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Expedition/FragmentZero/FragmentZeroEventScript.cs;Source/NexusForever.Game.Tests/Instances/FragmentZeroEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Fragment Zero shared map-add action is covered by focused tests proving reviewed Supervisor Lola and branch trigger paths enqueue entities at expected positions. WIP-guessed trigger creation rows remain blocked on retail trigger-row/timing proof, and route smoke, rewards, achievements, and client validation remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Expedition\Gauntlet\GauntletEventScript.cs,152,446,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",runtime_gauntlet_shared_enqueue_add_action_tested,wildstar_client_mysql/PublicEventObjective.tbl.sql;wildstar_client_mysql/Creature2.tbl.sql;Source/NexusForever.Script.Instance/Expedition/Gauntlet/GauntletEventScript.cs;Source/NexusForever.Game.Tests/Instances/GauntletEventScriptTests.cs,automated_focus_pass,not_retail_complete,"Gauntlet shared map-add action is covered by focused tests proving reviewed Pilot Taboro and airlock marker spawns enqueue at mapped positions. The WIP-guessed branch trigger create row remains blocked on retail trigger-row/timing proof, and route smoke, rewards, and achievements remain tracked by producer, dependency, and parent instance rows."
script_runtime_action,script_instance,Source\NexusForever.Script.Instance\Expedition\Infestation\InfestationEventScript.cs,319,95,,EnqueueAdd,script_entity_add_to_map,entity_or_position,entity,,source_expression_tracked,runtime_entity_add_expression_tracked,entity,Source/NexusForever.Script.*,runtime_entity_add_source_tracked,entity,Source/NexusForever.Script.*,"mapInstance.EnqueueAdd(entity, new ScriptMapPosition",script_entity_add_to_map_pending_spawn_lifecycle_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance,pending,not_retail_complete,"Scripted runtime action is tracked from source, but retail completion needs exact trigger timing, target selection, payload/effect semantics, cleanup/replay behavior, and content smoke."
