"opcode","hex","direction","coverageStatus","decodeState","aliasCount","aliasOpcodes","modelCount","handlerCount","readableModelCount","writableModelCount","placeholderModeled","comment","modelTypes","modelPaths","handlerTypes","handlerPaths"
"State","0x0000","Core","core_modeled","named","1","State","1","1","1","1","False","","State","Source/NexusForever.Network.World/Message/Model/State.cs","ClientStateHeartbeatHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientPingHandler.cs"
"State2","0x0001","Core","core_modeled","named","1","State2","1","1","1","1","False","","State2","Source/NexusForever.Network.World/Message/Model/State2.cs","ClientState2HeartbeatHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientPingHandler.cs"
"ServerHello","0x0003","Server","modeled","named","1","ServerHello","1","0","0","1","False","","ServerHello","Source/NexusForever.Network/Message/Model/ServerHello.cs","",""
"ServerMaxCharacterLevelAchieved","0x0036","Server","modeled","named","1","ServerMaxCharacterLevelAchieved","1","0","0","1","False","","ServerMaxCharacterLevelAchieved","Source/NexusForever.Network.World/Message/Model/Pregame/ServerMaxCharacterLevelAchieved.cs","",""
"Client0x003D","0x003D","Client","handled","named","1","Client0x003D","1","1","1","0","False","0x18-byte payload; semantics unresolved","Client0x003D","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs","Client0x003DHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs"
"ServerPlayerEnteredWorld","0x0061","Server","modeled","named","1","ServerPlayerEnteredWorld","1","0","0","1","False","","ServerPlayerEnteredWorld","Source/NexusForever.Network.World/Message/Model/ServerPlayerEnteredWorld.cs","",""
"ServerPetSpawned","0x0068","Server","modeled","named","1","ServerPetSpawned","1","0","0","1","False","","ServerPetSpawned","Source/NexusForever.Network.World/Message/Model/Pet/ServerPetSpawned.cs","",""
"ServerClientEntityUpdateInterval","0x0070","Server","modeled","named","1","ServerClientEntityUpdateInterval","1","0","0","1","False","","ServerClientEntityUpdateInterval","Source/NexusForever.Network.World/Message/Model/ServerEntityUpdateInterval.cs","",""
"ServerAuthEncrypted","0x0076","Server","modeled","named","1","ServerAuthEncrypted","1","0","0","1","False","","ServerAuthEncrypted","Source/NexusForever.Network.Auth/Message/Model/ServerAuthEncrypted.cs","",""
"ServerGameCameraRotation","0x0091","Server","modeled","named","1","ServerGameCameraRotation","1","0","0","1","False","","ServerGameCameraRotation","Source/NexusForever.Network.World/Message/Model/ServerGameCameraRotation.cs","",""
"ServerLogoutUpdate","0x0092","Server","modeled","named","1","ServerLogoutUpdate","1","0","0","1","False","","ServerLogoutUpdate","Source/NexusForever.Network.World/Message/Model/ServerLogoutUpdate.cs","",""
"ClientCommodityOrderCancel","0x0093","Client","handled","named","1","ClientCommodityOrderCancel","1","1","1","0","False","","ClientCommodityOrderCancel","Source/NexusForever.Network.World/Message/Model/Marketplace/ClientCommodityOrderCancel.cs","ClientCommodityOrderCancelHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Marketplace/ClientMarketplaceHandlers.cs"
