"functionEvidenceId","binary","address","durableLabel","labelRow","evidenceStatus","purpose","anchors","inputsOutputs","callers","callees","relatedOpcodes","relatedTables","sourcePaths","findingPath","verification","blockers","lastReviewed"
"FUN-HOUSTON64-1400A75C0","Houston64.exe","1400a75c0","ClientDB_RegisterAccountCurrencyType","1068","Mapped","Registers the AccountCurrencyType client DB table using the AccountCurrencyType and DB\\AccountCurrencyType.tbl descriptors.","Registers the AccountCurrencyType client DB table using the AccountCurrencyType and DB\\AccountCurrencyType.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A7A00","Houston64.exe","1400a7a00","ClientDB_RegisterAccountItem","1069","Mapped","Registers the AccountItem client DB table using the AccountItem and DB\\AccountItem.tbl descriptors.","Registers the AccountItem client DB table using the AccountItem and DB\\AccountItem.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A7E40","Houston64.exe","1400a7e40","ClientDB_RegisterAccountItemCooldownGroup","1070","Mapped","Registers the AccountItemCooldownGroup client DB table using the AccountItemCooldownGroup and DB\\AccountItemCooldownGroup.tbl descriptors.","Registers the AccountItemCooldownGroup client DB table using the AccountItemCooldownGroup and DB\\AccountItemCooldownGroup.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A8280","Houston64.exe","1400a8280","ClientDB_RegisterAchievement","1071","Mapped","Registers the Achievement client DB table using the Achievement and DB\\Achievement.tbl descriptors.","Registers the Achievement client DB table using the Achievement and DB\\Achievement.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A86C0","Houston64.exe","1400a86c0","ClientDB_RegisterAchievementCategory","1072","Mapped","Registers the AchievementCategory client DB table using the AchievementCategory and DB\\AchievementCategory.tbl descriptors.","Registers the AchievementCategory client DB table using the AchievementCategory and DB\\AchievementCategory.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A8B00","Houston64.exe","1400a8b00","ClientDB_RegisterAchievementGroup","1073","Mapped","Registers the AchievementGroup client DB table using the AchievementGroup and DB\\AchievementGroup.tbl descriptors.","Registers the AchievementGroup client DB table using the AchievementGroup and DB\\AchievementGroup.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A8F40","Houston64.exe","1400a8f40","ClientDB_RegisterAchievementSubGroup","1074","Mapped","Registers the AchievementSubGroup client DB table using the AchievementSubGroup and DB\\AchievementSubGroup.tbl descriptors.","Registers the AchievementSubGroup client DB table using the AchievementSubGroup and DB\\AchievementSubGroup.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A9380","Houston64.exe","1400a9380","ClientDB_RegisterAchievementChecklist","1075","Mapped","Registers the AchievementChecklist client DB table using the AchievementChecklist and DB\\AchievementChecklist.tbl descriptors.","Registers the AchievementChecklist client DB table using the AchievementChecklist and DB\\AchievementChecklist.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A97C0","Houston64.exe","1400a97c0","ClientDB_RegisterAchievementText","1076","Mapped","Registers the AchievementText client DB table using the AchievementText and DB\\AchievementText.tbl descriptors.","Registers the AchievementText client DB table using the AchievementText and DB\\AchievementText.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
"FUN-HOUSTON64-1400A9C00","Houston64.exe","1400a9c00","ClientDB_RegisterActionBarShortcutSet","1077","Mapped","Registers the ActionBarShortcutSet client DB table using the ActionBarShortcutSet and DB\\ActionBarShortcutSet.tbl descriptors.","Registers the ActionBarShortcutSet client DB table using the ActionBarShortcutSet and DB\\ActionBarShortcutSet.tbl descriptors.","","","","","","","Decomp/Analysis/function_labels.csv","Imported from durable function_labels.csv; label application is verified by the decompile manifest gate.","Source correlation and focused verification require a targeted mapping pass before implementation use.","2026-06-11"
