"traceabilityId","nativeEvidenceId","binary","nativeAddress","nativeLabel","nexusArea","nexusArtifactKind","nexusPath","nexusSymbol","implementationStatus","tests","findingPath","residualRisk","lastReviewed"
"TRACE-STS-LOGFINISH-MODEL","FUN-STS-1800043D0","StsConnLib64.MT.dll","1800043d0","StsConn_SendLoginFinish","STS network","Model","Source/NexusForever.Network.Sts/Model/ClientLoginFinishMessage.cs","ClientLoginFinishMessage","Implemented","","Decomp/Analysis/INITIAL_FINDINGS.md","Keep token and external-account routes as separate evidence targets","2026-06-10"
"TRACE-OPC-062A-HANDLER","OPC-CLIENT-062A","WildStar64.exe","14007d010","ClientTradeskillResetTalents_WritePayload","World server","Handler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x062AHandler","Blocked","","Decomp/Analysis/INITIAL_FINDINGS.md","Handler logs raw value only and must not mutate gameplay state","2026-06-10"
"TRACE-OPC-062A-MODEL","OPC-CLIENT-062A","WildStar64.exe","14007d010","ClientTradeskillResetTalents_WritePayload","World network","Model","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs","Client0x062A","Blocked","","Decomp/Analysis/INITIAL_FINDINGS.md","Numeric placeholder must remain until semantic owner is proven","2026-06-10"
"TRACE-OPCCLIENTCLIENT0X00C800C8","OPC-CLIENT-CLIENT0X00C8-00C8","WildStar64.exe","","Client0x00C8","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x00C8; Client0x00C8Handler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X00ED00ED","OPC-CLIENT-CLIENT0X00ED-00ED","WildStar64.exe","","Client0x00ED","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x00ED; Client0x00EDHandler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X011B011B","OPC-CLIENT-CLIENT0X011B-011B","WildStar64.exe","","Client0x011B","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x011B; Client0x011BHandler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X011D011D","OPC-CLIENT-CLIENT0X011D-011D","WildStar64.exe","","Client0x011D","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x011D; Client0x011DHandler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X012D012D","OPC-CLIENT-CLIENT0X012D-012D","WildStar64.exe","","Client0x012D","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x012D; Client0x012DHandler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X05500550","OPC-CLIENT-CLIENT0X0550-0550","WildStar64.exe","","Client0x0550","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x0550; Client0x0550Handler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
"TRACE-OPCCLIENTCLIENT0X06340634","OPC-CLIENT-CLIENT0X0634-0634","WildStar64.exe","","Client0x0634","Client opcode coverage","CoverageModelHandler","Source/NexusForever.Network.World/Message/Model/ClientUnresolvedDiagnosticPackets.cs; Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientUnresolvedDiagnosticHandlers.cs","Client0x0634; Client0x0634Handler","Blocked","","Decomp/Analysis/coverage/opcode_coverage_inventory.csv","Placeholder packet has partial native evidence but lacks safe semantic owner; do not rename or mutate behavior without a direct witness.","2026-06-11"
