Addon	Categories
1Version-OneVersion-1.6.0	Events,GameLib,Matching,Network
AAIPicker_1_1_1_1	Crafting,Events
AbilityErrorControl_v1.0.6	Events,GameLib
AbrUiFixes-2	GameLib,Matching
Accountability102	Events,GameLib,Group,Network
AccountWideSettings-15.0	Events,GameLib
AchievementTooltips_1.4	Challenge,Crafting,Events,GameLib,Housing
AchievementTracker_v0.7	Events,GameLib
ActionControls-v12.0.2	Events,GameLib
ActionSetProfiles-1.1	Events,GameLib
AdeleaUIFixes-1.3	GameLib,Market
afaltgear-v1.1.1	Events,GameLib,Loot
afgreedcheck-v1.0.1	Events,GameLib,Group,Loot
afgreedcheck-v1.1	Events,GameLib,Group,Loot
AFKAlert_1.2	Challenge,Events,GameLib
Afkreply	Events,GameLib
aflogicloot-v1.1.0	Crafting,Events,GameLib,Group,Housing,Loot
AfLogicLoot_Reloaded	Crafting,Events,GameLib,Group,Housing,Loot
afraidannouncer-v1.6.2	Events,GameLib,Group,Matching
afyessir-v1.4.4	Events,GameLib,Market,Matching
AGO11	Events
Aligner-v0.2	Events,GameLib
AllySelector1.7.3	Events,GameLib
AlpacaHUD_v0.22	Challenge,Events,GameLib,Housing
AlpacaHUDContinued-v1	Challenge,Events,GameLib,Housing
AlterFrame_0.8.3	Events,GameLib,Group
AltMouseFree	(none)
Altometer_0.90	Challenge,Crafting,Events,GameLib,Group,Mail,Matching,Network
AltStar_05	Events,GameLib
AMPBuilds-v0.6	Events,GameLib
AmpClassIcons	Events
AMPFinder_1.6.6	Events,GameLib,Market
AnnouncementManager-V2.4	Events,GameLib
AnotherSCT	Challenge,Events,GameLib,Matching
Arcompass_v0.26	Challenge,Crafting,Events,GameLib,Group,Mail
AreYouAWerewolf	Events,GameLib
ArmorSwap+v1.1	Events,GameLib
Armory-0.3.2	Challenge,Events,GameLib,Housing
Athena-2.5.5a	Crafting,Events,GameLib,Matching
AToolTip_6	Crafting,GameLib
AuctionHouseBLFilter	Events,GameLib,Market,Matching
AuctionHouseRunes-1.2.2	Crafting,Events,GameLib,Market,Matching
AuctionMaxIlevelFix_1_01	Crafting,Market
AuctionScanner-1.4	Events,GameLib,Market
AuctionStats0.0.4	Events,GameLib,Market
AugmentorsHelperV6	Events,GameLib
AuraMastery_22	Crafting,Events,GameLib,Group,Network
AutoFocus	Events,GameLib,Group
AutoFollowHelper	Events,GameLib
AutoGuildInvite	Events
AutoGuildInviter_V0.0.4	Events,GameLib
AutoInviter_api12	Events,GameLib,Group
AutoLoot-v1.3.2	Events,GameLib,Group,Loot
AutoQuest+1.0.6	Events,GameLib,Matching
AutoReadyCheck	Events,Group
AutoReload	Events,GameLib
Autorepair	Events
AutoScan-1.0	Events,GameLib,Matching
AutoT_0.1	Events,GameLib
AvatusHelperV21	Events,GameLib,Group
Ayth_Quest+2.7	Challenge,Events,GameLib
Backdropz+1.25.2	Events,GameLib
Baited	Challenge,Events,GameLib,Group
Bb_chat	Challenge,Crafting,Events,GameLib,Group,Matching,Network
Bb_CommDisplay	Crafting,Events,GameLib
Bb_datachron	Events,GameLib,Matching
Bb_dialog	Challenge,Crafting,Events,GameLib
Bb_ObjectiveTracker	Events,GameLib
BehavedGroupFinder	Matching
BensBAM	Events,GameLib
BetterBotBar_1.2.1	Events,GameLib
BetterChatLog+v1	Crafting,Events,GameLib,Group,Matching,Network
BetterCombatText+v1.8.2	Challenge,Events,GameLib,Matching
bettercontentfinder	Events,GameLib,Group,Matching
BetterGroupWindow_1.1.1	Events,GameLib
BetterMarketplace-v2.3-release	Events,GameLib,Market,Matching
BetterNumbers_1.04	Challenge,Crafting,Events,GameLib,Matching
BetterPartyFrames-v1.16	Events,GameLib,Group,Loot,Matching
BetterQuestLog	Events,GameLib,Group,Network
BetterRaidFrame_1.0	GameLib,Group
BetterRaidFrames-v0.39	Events,GameLib,Group,Loot,Matching
BetterReadyCheck-1.0.0b	Events,GameLib,Matching
BGBot-1.000	GameLib,Group
BGChron-70923.0	Events,GameLib,Matching
BGShouter+1.17	Events,GameLib,Matching
BijiPlates_3.1	Challenge,Events,GameLib
BobTheBuilder-0.1	Events,Housing
BookLevelIcons-1.2.4	Events,GameLib
BossMods-v0.37	Events,GameLib,Group
BotBuster+V1.1	Events,GameLib,Housing
Botter	Events,GameLib
BotZapper_v0.71a	Events,GameLib
BreadCrumbs	Events,GameLib,Group
BreakingEggs	Events,GameLib
Breakout-1.3	Events,GameLib
BreakTimer+v1.6.4	Events,GameLib,Group,Network
BroBot_12	Events,GameLib,Matching
bubble-v1.6	Events,GameLib
BucketList	Events,GameLib
BuffedRaid-9.0.1.30	Events,GameLib,Group,Matching
BuffFilter-v6.7	Events,GameLib,Matching
Buffhider	Events,GameLib
BuffMaster_0.3.2	Events,GameLib
BuffTelegraphsV250	Events,GameLib,Group,Network
BuffUptimeV33	Events,GameLib
Builder_v0.4.6	Events,GameLib
BulkInviter-1.0.3	Events,GameLib,Matching
BulletDrop	Events,GameLib
ButtHousing	Events,GameLib,Housing
ButtMode2	(none)
CalmMarketplaceBtn3	(none)
CameraSpeed-v1.1-8	Events
CandyBars-1.4	Events,GameLib,Housing
CandyUI-v0.7	Challenge,Crafting,Events,GameLib,Group,Housing,Matching
carbine-can-not-ui_challenges	Challenge,GameLib
Carbine-UI-Fixes-0.7.2	Events,GameLib,Matching
Cards-0.10	Challenge,Events,GameLib,Group,Matching,Network
Carrots	Events,GameLib,Housing
CastOnSelf	Events,GameLib
Catalog-1.1.5	Events,GameLib,Group,Housing,Loot,Matching
CCAlert-1.3.1	Events,GameLib
CCCv0.7a	Events,GameLib
ChaChing	Events,GameLib,Market,Matching
Challenger+v1.1b	Challenge,Events,GameLib
ChallengeScram_V1.0a	Challenge
Character-revamped	Events,GameLib
CharacterInfoPlus	GameLib,Matching
CharacterShot_1.8.0	Events,GameLib
ChargeSortedBags_1.24	Crafting,Events,GameLib
ChargeSortedBank_1.04	Crafting,Events,GameLib
