Event	Addons
KeyDown	235
InterfaceMenuListHasLoaded	191
WindowManagementReady	144
CharacterCreated	138
UnitEnteredCombat	133
UnitCreated	125
UnitDestroyed	106
ChangeWorld	101
NextFrame	77
TargetUnitChanged	76
ChatMessage	75
VarChange_FrameCount	67
SubZoneChanged	65
Group_Left	64
Group_Join	54
CombatLogDamage	48
Group_Remove	45
Group_Add	43
QuestStateChanged	41
SystemKeyDown	39
Group_Updated	34
PublicEventStart	33
QuestObjectiveUpdated	33
Tutorial_RequestUIAnchor	32
AbilityBookChange	30
PlayerLevelChange	30
UnitActivationTypeChanged	30
VarChange_ZoneName	30
PublicEventEnd	29
PlayerPathMissionUpdate	28
CombatLogCCState	27
GuildRoster	26
UnitNameChanged	25
PlayerCurrencyChanged	24
UpdateInventory	24
DamageOrHealingDone	22
GuildChange	22
InvokeVendorWindow	21
MatchEntered	21
PublicEventObjectiveUpdate	21
SpecChanged	21
ChallengeActivate	20
ElderPointsGained	20
UnitLevelChanged	20
UnitPvpFlagsChanged	20
AlternateTargetUnitChanged	19
LootedItem	19
LootRollUpdate	19
MatchExited	19
PublicEventLeave	19
ChallengeFailArea	18
ChallengeFailTime	18
ChannelUpdate_Loot	18
CombatLogHeal	18
PlayerEquippedItemChanged	18
QuestInit	18
UnitTextBubbleCreate	18
AttackMissed	17
UnitGibbed	17
ExperienceGained	16
MasterLootUpdate	16
OptionsUpdated_QuestTracker	16
PlayerTitleChange	16
UnitTextBubblesDestroyed	16
CombatLogTransference	15
Dialog_ShowState	15
EpisodeStateChanged	15
FriendshipAdd	15
FriendshipRemove	15
Group_FlagsChanged	15
Group_MemberFlagsChanged	15
Group_MemberPromoted	15
Group_ReadyCheck	15
LootedMoney	15
PlayedTime	15
PlayerPathMissionDeactivate	15
ChallengeAbandon	14
ChallengeCompleted	14
ChatTellFailed	14
PlayerPathMissionActivate	14
PlayerPathMissionUnlocked	14
ResolutionChanged	14
ShowResurrectDialog	14
UnitGuildNameplateChanged	14
UnitMemberOfGuildChange	14
UnitTitleChanged	14
CloseVendorWindow	13
Dialog_Close	13
GuildMemberChange	13
PlayerChanged	13
PlayerResurrected	13
PublicEventObjectiveLocationAdded	13
PublicEventObjectiveLocationRemoved	13
ReputationChanged	13
ChatAccountTellFailed	12
CombatMomentum	12
GenericError	12
GenericEvent_ArchiveArticleLink	12
GenericEvent_QuestLink	12
Group_UpdatePosition	12
ItemLink	12
ItemRemoved	12
ItemSentToCrate	12
LootAssigned	12
LootRollWon	12
MatchingGameReady	12
PublicEventLocationAdded	12
PublicEventLocationRemoved	12
SpellCastFailed	12
UnitMiniMapMarkerChanged	12
UpdatePathXp	12
WindowManagementUpdate	12
ChatJoin	11
ChatLeave	11
CombatLogDeflect	11
Death	11
DragDropSysBegin	11
DragDropSysEnd	11
FriendshipAccountFriendRemoved	11
GenericEvent_LootChannelMessage	11
HarvestItemsSentToOwner	11
OptionsUpdated_HUDPreferences	11
QuestFloater	11
ShowActionBarShortcut	11
TargetThreatListUpdated	11
UnitEvaded	11
ActionBarNonSpellShortcutAddFailed	10
AlertAchievement	10
BuffAdded	10
ChallengeFailGeneric	10
ChallengeFlashStartLocation	10
ChatReply	10
CityDirectionMarked	10
CombatLogDeath	10
Event_EngageAccountWhisper	10
Event_EngageWhisper	10
FactionFloater	10
FriendshipAccountFriendsRecieved	10
GenericEvent_ChatLogWhisper	10
Group_Invite_Result	10
HazardRemoveMinimapUnit	10
HazardShowMinimapUnit	10
LuaChatLogMessage	10
PlayerPathExplorerPowerMapFailed	10
PlayerPathExplorerPowerMapStarted	10
ToggleGhostModeMap	10
WhoResponse	10
AccountSupportTicketResult	9
AlertTitle	9
ApplyCCState	9
ChatAction	9
ChatJoinResult	9
ChatList	9
ChatResult	9
CountdownTick	9
GenericEvent_GenericError	9
GenericEvent_SystemChannelMessage	9
GenericFloater	9
Group_Invited	9
GuildResult	9
HintArrowDistanceUpdate	9
KeyBindingKeyChanged	9
MapGhostMode	9
MatchingJoinQueue	9
MatchingLeaveQueue	9
OptionsUpdated_Floaters	9
PlayerPathMissionComplete	9
PrereqFailureMessage	9
PVPMatchFinished	9
QuestShareFloater	9
RealmBroadcastTierMedium	9
SettlerHubReward	9
ToggleFramerate	9
TradeSkillFloater	9
TradeSkillSigilResult	9
ZoneMapPing	9
AchievementGranted	8
AchievementUpdated	8
BuffRemoved	8
BuffUpdated	8
ChallengeAbandonConfirmed	8
ClearSpellThreshold	8
CombatLogDatacube	8
CombatLogImmunity	8
CombatLogModifying	8
CombatLogVitalModifier	8
Communicator_ShowQuestMsg	8
ItemAdded	8
LootRollPassed	8
LootRollSelected	8
Mount	8
NavPointCleared	8
NavPointSet	8
PersonaUpdateCharacterStats	8
StartSpellThreshold	8
ToggleZoneMap	8
UnitGroupChanged	8
UpdateSpellThreshold	8
ZoneMap_TimeOutCityDirectionEvent	8
AccountCurrencyChanged	7
ApplicationWindowSizeChanged	7
ChallengeUnlocked	7
ChatFlag	7
ChatZone	7
ChatZoneChange	7
CombatLogFallingDamage	7
CombatLogInterrupted	7
CombatLogLoot	7
CombatLogResurrect	7
CommodityInfoResults	7
FrameCount	7
FriendshipUpdate	7
GenericEvent_QuestTrackerRenumbered	7
GenericEvent_ToggleGroupBag	7
ItemDurabilityUpdate	7
KeyBindingUpdated	7
MatchLeft	7
MouseOverUnitChanged	7
ObjectiveTrackerLoaded	7
StanceChanged	7
UI_XPChanged	7
AccountEntitlementUpdate	6
ActionBarLoaded	6
ChallengeUpdated	6
ChannelUpdate_Crafting	6
CharacterEntitlementUpdate	6
CombatLogModifyInterruptArmor	6
GenericEvent_InitializeSchematicsTree	6
GenericEvent_QuestLog_TrackBtnClicked	6
Group_JoinRequest	6
Group_LootRulesChanged	6
Group_Referral	6
HousingNeighborInviteRecieved	6
HousingRandomResidenceListRecieved	6
Inspect	6
ItemModified	6
LootRoll	6
LootRollAllPassed	6
MailBoxActivate	6
RemoveCCState	6
RequestSalvageAll	6
ToggleCharacterWindow	6
ToggleInventory	6
VendorItemsUpdated	6
ChannelUpdate_Progress	5
CombatLogAbsorption	5
CombatLogCrafting	5
CombatLogDispel	5
CombatLogItemDestroy	5
ContractStateChanged	5
DatachronRestored	5
FloaterMultiHeal	5
FloaterMultiHit	5
FloaterTransference	5
FriendshipAccountDataUpdate	5
GenericEvent_LinkItemToChat	5
GenericEvent_LoadItemPreview	5
GenericEvent_RestoreDatachron	5
Group_AcceptInvite	5
GuildBankTab	5
InterfaceMenu_ToggleInventory	5
InterfaceMenuList_AlertAddOn	5
InterfaceOptionsLoaded	5
MatchingRoleCheckStarted	5
PlayerPathRefresh	5
PlayerTitleUpdate	5
PostCommodityOrderResult	5
ProfessionAchievementUpdated	5
PublicEventCleared	5
RealmBroadcastTierHigh	5
ShowBank	5
ShowInventory	5
TaxiWindowClose	5
ToggleMarketplaceWindow	5
ActionBarReady	4
ActivateCCStateStun	4
AvailableMail	4
CombatLogLifeSteal	4
CommDisplay_Closed	4
Communicator_EndIncoming	4
Communicator_ShowSpamMsg	4
Communicator_SpamVOEnded	4
ContractObjectiveUpdated	4
Datachron_HideCallPulse	4
DatacubeUpdated	4
DuelStateChanged	4
DyeLearned	4
FriendshipUpdateOnline	4
Group_Request_Result	4
Group_SetMark	4
GuildBank_ShowPersonalInventory	4
HideBank	4
HousingFreePlaceDecorQuery	4
HousingPanelControlClose	4
HousingPanelControlOpen	4
InterfaceMenuList_NewAddOn	4
LogOut	4
MatchFinished	4
MatchingCancelPendingGame	4
MatchJoined	4
MouseButtonUp	4
ObscuredAddonVisible	4
OwnedCommodityOrders	4
PlayerPathMissionAdvanced	4
ProgressClickWindowDisplay	4
PublicEventObjectiveJoinedMessage	4
PublicEventObjectiveStartMessage	4
PublicEventUpdate	4
QuestLog_ToggleLongQuestText	4
QuestTrackedChanged	4
RaidInfoResponse	4
RemoveCCStateStun	4
SetPlayerPath	4
StoreLinksRefresh	4
ToggleGroupFinder	4
ToggleTradeskills	4
ZoneMapWindowModeChange	4
BonusEventsChanged	3
BreathChanged	3
BuybackItemsUpdated	3
ChallengeLeftArea	3
ChallengeRewardListReady	3
CharacterEldanAugmentationsUpdated	3
CityDirectionsClose	3
CityDirectionsList	3
CombatLogCCStateBreak	3
CombatLogMount	3
CombatLogMultiHeal	3
CombatLogMultiHit	3
ContractBoardOpen	3
CraftingInterrupted	3
CREDDExchangeInfoResults	3
Datachron_FlashIndicators	3
DatachronMinimized	3
EnteredCombat	3
FriendshipAccountInvitesRecieved	3
FriendshipInvitesRecieved	3
FriendshipResult	3
GameClickWorld	3
GenericEvent_AttachWindow_GroupDisplayOptions	3
GenericEvent_CollectablesReady	3
GenericEvent_CraftingResume_OpenEngraving	3
GenericEvent_MediaShareLoaded	3
GenericEvent_PlayerCampStart	3
GenericEvent_PlayerExitStart	3
GenericEvent_ShowConfirmLeaveDisband	3
GenericEvent_SplitItemStack	3
GenericEvent_StartCraftingGrid	3
GenericEvent_ZoneMap_ZoneChanged	3
Group_DeclineInvite	3
Group_Disbanded	3
Group_MemberConnect	3
Group_Mentor	3
Group_MentorLeftAOI	3
Group_MentorRelationship	3
Group_Operation_Result	3
GuildBankItem	3
GuildInvite	3
GuildRankChange	3
HousingFreePlaceDecorCancelled	3
HousingFreePlaceDecorSelected	3
HousingMyResidenceDecorChanged	3
HousingNeighborsLoaded	3
InteractiveUnitChanged	3
InterfaceClick	3
ItemAuctionSearchResults	3
LevelUpUnlock_WorldMapAdventure_Astrovoid	3
LevelUpUnlock_WorldMapAdventure_Galeras	3
LevelUpUnlock_WorldMapAdventure_Hycrest	3
LevelUpUnlock_WorldMapAdventure_Malgrave	3
LevelUpUnlock_WorldMapAdventure_NorthernWilds	3
LevelUpUnlock_WorldMapAdventure_Whitevale	3
LevelUpUnlock_WorldMapCapital_Illium	3
LevelUpUnlock_WorldMapCapital_Thayd	3
LevelUpUnlock_WorldMapDungeon_KelVoreth	3
LevelUpUnlock_WorldMapDungeon_Skullcano	3
LevelUpUnlock_WorldMapDungeon_Stormtalon	3
LevelUpUnlock_WorldMapDungeon_SwordMaiden	3
LevelUpUnlock_WorldMapNewZone_Algoroc	3
LevelUpUnlock_WorldMapNewZone_Auroria	3
LevelUpUnlock_WorldMapNewZone_Celestion	3
LevelUpUnlock_WorldMapNewZone_CrimsonIsle	3
LevelUpUnlock_WorldMapNewZone_Deradune	3
LevelUpUnlock_WorldMapNewZone_Ellevar	3
LevelUpUnlock_WorldMapNewZone_EverstarGrove	3
LevelUpUnlock_WorldMapNewZone_Farside	3
LevelUpUnlock_WorldMapNewZone_Galeras	3
LevelUpUnlock_WorldMapNewZone_Grimvault	3
LevelUpUnlock_WorldMapNewZone_LevianBay	3
LevelUpUnlock_WorldMapNewZone_Malgrave	3
LevelUpUnlock_WorldMapNewZone_NorthernWilds	3
LevelUpUnlock_WorldMapNewZone_Whitevale	3
LevelUpUnlock_WorldMapNewZone_Wilderrun	3
LootStackItemSentToTradeskillBag	3
MailBoxDeactivate	3
MapPulseTimer	3
MapTrackedUnitDisable	3
MapTrackedUnitUpdate	3
MarketplaceWindowClose	3
MatchingEligibilityChanged	3
MatchingGamePendingUpdate	3
ObjectiveTracker_ExternalRequestRedraw	3
ObjectiveTracker_NewAddOn	3
ObjectiveTracker_RemoveAddOn	3
ObjectiveTracker_RequestParent	3
ObjectiveTracker_UpdateAddOn	3
PetSpawned	3
PlayerEnteredWorld	3
PremiumTierChanged	3
PublicEventLiveStatsUpdate	3
PvpKillNotification	3
QuestHighlightChanged	3
ShowItemInDressingRoom	3
ShowLocOnWorldMap	3
ShowQuestLog	3
SplitItemStack	3
SuggestedMenuResult	3
ToggleBlockBarsVisibility	3
ToggleMailWindow	3
ToggleSocialWindow	3
TradeskillEngravingStationClose	3
UI_EffectiveLevelChanged	3
UI_LevelChanged	3
WindowManagementAdd	3
WindowSizeChanged	3
ZoneCompletionUpdated	3
ZoneMapPlayerIndicatorUpdated	3
ZoneMapUpdateHexGroup	3
_LCLF_SpellCastStart	2
AbilityWindowHasBeenToggled	2
AcceptProgressInput	2
AlpacaColorPickerSelection	2
AlpacaOpenDebug	2
AlpacaRegisterPlugin	2
AlpacaRegisterPluginSuccess	2
AlpacaSetDebugCounter	2
AlwaysShowTradeskills	2
AppearanceChanged	2
CandyBarsInterfaceMenuClick	2
CasterResurrectedPlayer	2
CloseCommDisplay	2
CombatLogDamageShields	2
CombatLogDelayDeath	2
CombatLogKillPVP	2
CombatLogLAS	2
CombatLogMultiHitShields	2
CombatLogPet	2
CombatLogReflect	2
CommDisplayQuestText	2
CommDisplayRegularText	2
CommodityAuctionRemoved	2
Communicator_ShowQueuedMsg	2
ContentFinder_OpenMapToNavPoint	2
ContractBoardClose	2
CostumeNames_Edit	2
CostumeSet	2
CraftingSchematicLearned	2
DailyLoginUpdate	2
DatacubePlaybackEnded	2
DecorPreviewClose	2
DuelAccepted	2
DuelCancelWarning	2
DuelLeftArea	2
EventGeneric_OpenSocialPanel	2
FriendshipAccountCharacterLevelUpdate	2
FriendshipAccountInviteRemoved	2
FriendshipAccountPersonalStatusUpdate	2
FriendshipInviteRemoved	2
FriendshipLocation	2
FriendshipPostRemove	2
FriendshipRequest	2
FriendshipRequestWithdrawn	2
GameClickSky	2
Generic_GEAR_UPDATE	2
GenericBuilderUpdate	2
GenericEvent_ChallengeTrackerToggled	2
GenericEvent_CraftingResume_CloseEngraving	2
GenericEvent_InitializeGroupLeaderOptions	2
GenericEvent_LoadDecorPreview	2
GenericEvent_Raid_UncheckMasterLoot	2
GenericEvent_StartCircuitCraft	2
GenericEvent_ToggleReputation	2
GenericEvent_UpdateGroupLeaderOptions	2
GuardWaypoints_DefaultColorSet	2
GuardWaypoints_WaypointAdded	2
GuildBankerClose	2
GuildBankerOpen	2
GuildBankWithdraw	2
GuildInfoMessage	2
GuildLoaded	2
GuildWarCoinsChanged	2
HazardEnabled	2
HazardRemoved	2
HazardUpdated	2
HideCommDisplay	2
HighlightProgressOption	2
HousingExitEditMode	2
HousingFreePlaceDecorMoveBegin	2
HousingFreePlaceDecorMoveEnd	2
HousingFreePlaceDecorMoving	2
HousingNeighborhoodRecieved	2
HousingNeighborInviteAccepted	2
HousingNeighborInviteDeclined	2
HousingNeighborUpdate	2
HousingPlotsRecieved	2
HousingVendorListRecieved	2
InterfaceMenu_ToggleFortunes	2
InterfaceMenu_ToggleShop	2
InterfaceMenuClicked	2
InvokeCraftingWindow	2
ItemConfirmSoulboundOnEquip	2
Jita_ICComm_ReceivedPlayerData	2
Jita_ICComm_RequestPlayerData	2
Jita_ICComm_StreamingChunkedData	2
KeyBindingReceived	2
KeybindInterfaceClosed	2
LevelUpUnlock_Character_CostumeSlot2	2
LevelUpUnlock_Character_CostumeSlot3	2
LevelUpUnlock_Character_CostumeSlot4	2
LevelUpUnlock_Character_CostumeSlot5	2
LevelUpUnlock_Character_CostumeSlot6	2
LevelUpUnlock_Character_CostumeSystem	2
LevelUpUnlock_Character_GearSlot_Gadgets	2
LevelUpUnlock_Character_GearSlot_Gloves	2
LevelUpUnlock_Character_GearSlot_Helm	2
LevelUpUnlock_Character_GearSlot_Implants	2
LevelUpUnlock_Character_GearSlot_RaidKey	2
LevelUpUnlock_Character_GearSlot_Shield	2
LevelUpUnlock_Character_GearSlot_Shoulders	2
LevelUpUnlock_Character_GearSlot_SupportSystem	2
