source_table,source_id,source_name,chosen_creature2_id,decision,reason,reviewer,reviewed_at
creatures,244,Yeti Snowstalker,11945,approved,northern_wilds_yeti_review: exact-name level-3 faction-1208 challenger row with fixed 442 health; prefer base bruiser over survivor duplicate 51126 until spawn-group evidence is mapped,Codex Northern Wilds review,2026-05-25
creatures,1073,Deadeye Brightland,11063,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 1.031 and world426 area597 coordinates 4368/4370/5142 support Q3479/Q3480/Q3668/Q3673/Q3963 starter and receiver relations,Codex DM-FND review,2026-06-17
creatures,3367,Mondo Zax,24187,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 1.155 and world870 area1885 coordinates support Q5597 and Q5573 starter/finisher relations plus Quest2 giver/receiver evidence,Codex DM-FND review,2026-06-17
creatures,3385,Kezrek Warbringer,24158,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 0.728 and world870 area1284 coordinates support Q5575/Q5580 starter/receiver relations and Crimson Isle receiver fallback,Codex DM-FND review,2026-06-17
creatures,3382,Power Regulator,24999,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 0.541 and three world870 area1217 coordinates support Q5573/Q5575 checklist objective relations,Codex DM-FND review,2026-06-17
creatures,3462,Chua Explosives,24286,approved,q5597_chua_explosives_review: QuestObjective8256 VirtualCollect data364 count6 reward-pane TargetGroup4373 contains Creature2 24286; DataMapping source creature3462 has one current Creature2 candidate 24286 and 30 world870 area1218 source coordinates; CrimsonIsleMapScript fallback-spawns those positions and Q5597ChuaExplosivesEntityScript filters Creature2 24286 and credits virtual item364 while Q5597 is accepted; client activation density respawn reward achievement and chain smoke remain blocked,Codex Q5597 bridge review,2026-06-19
creatures,619,Master Control Panel,11194,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 1.093 and world426 area852 coordinate 2501 supports Q3486 starter/finisher and Q3667/Q3486 panel fallback,Codex DM-FND review,2026-06-17
creatures,1090,Ship Controls,27196,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 0.856 and world426 area602 coordinates 5168/40678 support Q3963 activate objective and ship-controls fallback,Codex DM-FND review,2026-06-17
creatures,201,Deadeye Brightland,16622,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 0.362 and world51 area23 coordinates support the Galeras Deadeye receiver relation for Q3963 without reusing the Northern Wilds Deadeye bridge,Codex DM-FND review,2026-06-17
creatures,752,Bosun Redmark,11062,approved,next_slice_dm_fnd_001: existing_entity_spatial nearest 0.620 and world426 area645 coordinate 2956 support Q3479 starter relation and Bosun fallback spawn,Codex DM-FND review,2026-06-17
